Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Lewis Dunk,eng ENG,DF,33-331,7.0,465,406,58,22,0,1,0,1,0,0,0,0,424,1,2,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7.0,445,427,18,13,0,8,3,2,0,0,0,0,384,0,3,Matches
Bart Verbruggen,nl NED,GK,23-061,7.0,271,242,29,11,0,0,0,0,0,0,0,0,198,0,1,Matches
Yankuba Minteh,gm GAM,FW,21-088,6.6,170,156,11,0,0,2,25,5,6,3,0,0,96,3,7,Matches
Kaoru Mitoma,jp JPN,FW,28-151,5.6,137,134,3,0,0,0,8,3,0,0,0,0,106,0,4,Matches
Carlos Baleba,cm CMR,MF,21-288,3.9,127,125,2,1,1,1,0,1,0,0,0,0,100,0,3,Matches
Yasin Ayari,se SWE,MF,22-012,6.0,254,228,23,9,0,2,16,0,14,8,1,0,211,3,2,Matches
Danny Welbeck,eng ENG,FW,34-326,4.1,75,74,0,0,2,0,0,0,0,0,0,0,58,1,1,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,4.1,71,65,6,0,1,0,3,0,0,0,0,0,46,0,6,Matches
Joël Veltman,nl NED,DF,33-276,3.6,108,83,25,4,1,0,3,21,0,0,0,0,80,0,4,Matches
Maxim De Cuyper,be BEL,DF,24-300,3.3,166,139,27,9,0,2,8,16,2,2,0,0,136,0,2,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,4.2,178,143,33,1,0,0,10,32,0,0,0,0,147,2,5,Matches
Diego Gómez,py PAR,MF,22-205,3.5,94,85,7,1,0,0,4,0,1,1,0,0,69,2,3,Matches
Mats Wieffer,nl NED,DF,25-336,3.2,169,126,41,4,0,2,3,37,0,0,0,0,138,2,3,Matches
Brajan Gruda,de GER,"MF,FW",21-140,2.5,63,57,6,3,1,0,5,1,2,1,0,0,49,0,0,Matches
Matt O'Riley,dk DEN,MF,24-331,2.0,61,54,6,0,0,0,6,0,2,2,0,0,51,1,1,Matches
Jack Hinshelwood,eng ENG,MF,20-190,1.2,54,53,1,1,0,2,0,0,0,0,0,0,46,0,1,Matches
James Milner,eng ENG,MF,39-287,1.6,73,58,15,7,0,0,5,3,3,1,2,0,61,0,1,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,0.6,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
Diego Coppola,it ITA,DF,21-294,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Squad Total,,,26.1,7.0,2990,2664,311,86,6,20,99,122,30,18,3,0,2407,15,50,
Opponent Total,,,26.4,7.0,3370,3023,340,102,8,12,111,126,28,23,1,0,2718,7,72,
