Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Robin Roefs,nl NED,GK,22-274,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Granit Xhaka,ch SUI,MF,33-021,7.0,0,3,2,66.7,0.43,0.29,0.0,0.0,24.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Noah Sadiki,cd COD,MF,20-305,6.9,0,2,0,0.0,0.29,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Trai Hume,nir NIR,DF,23-214,6.9,0,4,0,0.0,0.58,0.0,0.0,,25.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Omar Alderete,py PAR,DF,28-296,6.4,1,6,2,33.3,0.93,0.31,0.17,0.5,12.8,0,0,0,0.6,0.6,0.1,0.4,0.4,Matches
Chemsdine Talbi,ma MAR,FW,20-162,5.6,0,8,1,12.5,1.44,0.18,0.0,0.0,14.9,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
Nordi Mukiele,fr FRA,DF,27-351,5.0,0,2,0,0.0,0.4,0.0,0.0,,6.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Reinildo Mandava,mz MOZ,DF,31-270,4.4,0,1,0,0.0,0.23,0.0,0.0,,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Wilson Isidor,fr FRA,FW,25-052,4.2,3,15,5,33.3,3.56,1.19,0.2,0.6,15.0,0,0,0,1.2,1.2,0.08,1.8,1.8,Matches
Enzo Le Fée,fr FRA,"FW,MF",25-257,4.2,1,1,0,0.0,0.24,0.0,0.0,,35.1,0,1,1,0.8,0.0,0.04,0.2,0.0,Matches
Habib Diarra,sn SEN,MF,21-288,3.8,0,6,1,16.7,1.57,0.26,0.0,0.0,19.4,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
Simon Adingra,ci CIV,FW,23-290,3.0,0,1,0,0.0,0.33,0.0,0.0,,14.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Eliezer Mayenda,es ESP,FW,20-163,2.7,1,4,2,50.0,1.47,0.73,0.25,0.5,12.4,0,0,0,0.5,0.5,0.12,0.5,0.5,Matches
Daniel Ballard,nir NIR,DF,26-026,2.5,1,7,2,28.6,2.84,0.81,0.14,0.5,8.1,0,0,0,0.5,0.5,0.07,0.5,0.5,Matches
Arthur Masuaku,cd COD,"DF,MF",31-345,1.4,0,1,0,0.0,0.71,0.0,0.0,,12.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Chris Rigg,eng ENG,MF,18-122,1.1,0,2,0,0.0,1.87,0.0,0.0,,18.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Jenson Seelt,nl NED,DF,22-148,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-042,1.0,0,3,2,66.7,3.03,2.02,0.0,0.0,13.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-092,0.7,0,1,1,100.0,1.45,1.45,0.0,0.0,9.7,0,0,0,0.6,0.6,0.64,-0.6,-0.6,Matches
Brian Brobbey,nl NED,FW,23-259,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Patrick Roberts,eng ENG,"MF,FW",28-255,0.3,0,1,0,0.0,3.21,0.0,0.0,,16.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,0,1,0,0.0,6.0,0.0,0.0,,15.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Dan Neil,eng ENG,MF,23-309,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.3,7.0,7,69,18,26.1,9.86,2.57,0.09,0.33,15.6,0,1,1,6.7,5.9,0.09,0.3,0.1,
Opponent Total,,,27.0,7.0,6,88,28,31.8,12.57,4.0,0.07,0.21,17.2,0,0,1,8.7,7.9,0.09,-2.7,-1.9,
