Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Joe Rodon,wls WAL,DF,27-361,7.0,1,6,2,33.3,0.86,0.29,0.17,0.5,7.9,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Pascal Struijk,nl NED,DF,26-068,7.0,0,6,1,16.7,0.86,0.14,0.0,0.0,8.4,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
Jayden Bogle,eng ENG,DF,25-083,6.8,0,5,1,20.0,0.74,0.15,0.0,0.0,24.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Gabriel Gudmundsson,se SWE,DF,26-172,6.7,0,3,0,0.0,0.44,0.0,0.0,,16.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Anton Stach,de GER,MF,26-337,6.7,1,12,2,16.7,1.78,0.3,0.08,0.5,20.5,2,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Sean Longstaff,eng ENG,MF,27-353,5.3,1,8,2,25.0,1.51,0.38,0.13,0.5,22.1,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
Ethan Ampadu,wls WAL,MF,25-034,4.9,0,1,0,0.0,0.21,0.0,0.0,,35.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Brenden Aaronson,us USA,FW,24-361,4.4,0,8,3,37.5,1.81,0.68,0.0,0.0,14.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
Karl Darlow,wls WAL,GK,35-010,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-216,4.0,1,9,7,77.8,2.27,1.76,0.11,0.14,14.1,0,0,0,1.4,1.4,0.15,-0.4,-0.4,Matches
Noah Okafor,ch SUI,FW,25-147,3.4,2,6,2,33.3,1.76,0.59,0.33,1.0,12.6,0,0,0,1.2,1.2,0.19,0.8,0.8,Matches
Lucas Perri,br BRA,GK,27-312,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel James,wls WAL,FW,27-342,2.4,0,5,0,0.0,2.11,0.0,0.0,,16.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Wilfried Gnonto,it ITA,FW,21-347,2.1,0,5,0,0.0,2.34,0.0,0.0,,21.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Ilia Gruev,bg BUL,MF,25-165,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ao Tanaka,jp JPN,MF,27-038,2.0,0,2,0,0.0,0.99,0.0,0.0,,24.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Joël Piroe,nl NED,"FW,MF",26-077,1.6,0,4,2,50.0,2.47,1.23,0.0,0.0,14.5,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Lukas Nmecha,de GER,FW,26-308,1.7,1,2,0,0.0,1.19,0.0,0.0,,20.5,0,1,1,0.9,0.2,0.09,0.1,-0.2,Matches
Jack Harrison,eng ENG,"FW,DF",28-332,1.5,0,2,1,50.0,1.33,0.67,0.0,0.0,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
James Justin,eng ENG,DF,27-237,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sam Byram,eng ENG,DF,32-032,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.0,7.0,7,84,23,27.4,12.0,3.29,0.07,0.26,17.0,2,1,1,7.6,6.9,0.08,-0.6,-0.9,
Opponent Total,,,26.6,7.0,10,74,24,32.4,10.57,3.43,0.12,0.38,17.1,4,1,1,7.9,7.1,0.1,2.1,1.9,
