Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Moisés Caicedo,ec ECU,MF,23-350,7.0,529,23,127,336,71,3,529,10,3,30.0,4,40.0,299,1232,591,5,5,0,4,7,369,3,Matches
Enzo Fernández,ar ARG,MF,24-274,6.9,466,5,73,279,119,17,465,9,1,11.1,6,66.7,274,1132,521,9,4,1,12,13,362,27,Matches
João Pedro,br BRA,"FW,MF",24-022,6.5,245,5,17,126,106,21,245,22,4,18.2,14,63.6,141,774,395,16,9,3,15,13,187,43,Matches
Robert Sánchez,es ESP,GK,27-334,6.0,255,199,253,2,0,0,255,0,0,,0,,174,718,447,0,0,0,0,0,166,0,Matches
Pedro Neto,pt POR,FW,25-223,5.6,257,3,24,67,172,22,257,23,9,39.1,11,47.8,164,1260,752,24,11,8,14,6,183,51,Matches
Marc Cucurella,es ESP,DF,27-088,6.0,413,16,121,205,88,12,413,1,1,100.0,0,0.0,218,893,557,14,8,2,2,1,274,22,Matches
Trevoh Chalobah,eng ENG,DF,26-105,5.3,484,36,162,289,35,6,484,5,4,80.0,0,0.0,320,1348,783,8,4,0,3,1,366,0,Matches
Reece James,eng ENG,DF,25-314,4.7,411,13,107,203,101,4,411,8,3,37.5,3,37.5,227,1073,497,8,6,2,5,3,254,16,Matches
Estêvão Willian,br BRA,FW,18-177,2.9,153,3,16,63,80,20,153,26,11,42.3,15,57.7,90,640,384,10,5,8,5,4,106,26,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,3.9,389,52,191,191,7,2,389,0,0,,0,,202,881,536,2,1,0,1,0,275,0,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,3.5,253,8,56,126,74,6,253,1,0,0.0,1,100.0,136,679,348,7,2,0,13,2,161,19,Matches
Joshua Acheampong,eng ENG,DF,19-166,2.2,168,14,70,93,7,2,168,5,4,80.0,0,0.0,117,556,257,1,2,0,0,2,133,0,Matches
Jorrel Hato,nl NED,DF,19-225,1.9,124,17,62,47,15,3,124,2,2,100.0,0,0.0,80,219,70,0,1,0,2,3,91,1,Matches
Jamie Gittens,eng ENG,FW,21-071,1.8,63,2,7,16,40,11,63,7,3,42.9,3,42.9,39,346,170,9,3,7,6,1,44,13,Matches
Cole Palmer,eng ENG,MF,23-165,1.6,68,1,5,21,45,10,68,5,2,40.0,1,20.0,46,293,154,9,4,2,3,2,51,14,Matches
Wesley Fofana,fr FRA,DF,24-305,1.4,122,9,31,86,5,0,122,1,0,0.0,0,0.0,74,312,166,3,2,0,1,1,89,1,Matches
Liam Delap,eng ENG,FW,22-252,1.0,25,1,1,10,14,5,25,0,0,,0,,15,99,42,2,1,0,2,2,20,4,Matches
Andrey Santos,br BRA,MF,21-168,1.9,121,3,26,78,17,6,121,1,1,100.0,0,0.0,67,321,155,4,1,0,3,1,85,7,Matches
Alejandro Garnacho,ar ARG,FW,21-109,1.0,36,0,1,9,27,7,36,5,2,40.0,2,40.0,30,270,159,8,3,5,3,1,32,14,Matches
Benoît Badiashile,fr FRA,DF,24-206,0.7,64,12,34,26,4,0,64,0,0,,0,,40,174,85,0,0,0,1,0,43,0,Matches
Facundo Buonanotte,ar ARG,MF,20-299,0.5,30,0,1,12,17,4,30,1,0,0.0,1,100.0,16,64,9,0,1,0,2,0,21,5,Matches
Tyrique George,eng ENG,FW,19-256,1.5,35,0,1,16,18,3,35,3,1,33.3,2,66.7,20,102,56,1,1,1,5,4,27,9,Matches
Filip Jørgensen,dk DEN,GK,23-185,0.9,37,30,36,1,0,0,37,0,0,,0,,23,101,42,0,0,0,0,0,24,0,Matches
Roméo Lavia,be BEL,MF,21-285,0.5,38,1,12,18,8,0,38,1,1,100.0,0,0.0,24,95,47,1,1,0,1,1,28,0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,2,0,0,1,1,1,2,0,0,,0,,1,3,0,0,0,0,0,0,2,0,Matches
Squad Total,,,24.4,7.0,4788,453,1434,2321,1071,165,4787,136,52,38.2,63,46.3,2837,13585,7223,141,75,39,103,68,3393,275,
Opponent Total,,,26.9,7.0,3594,483,1336,1504,799,134,3594,122,38,31.1,68,55.7,1964,10390,5364,106,62,31,99,56,2153,215,
