Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-302,7.0,6,3,1,3,2,2,6,33.3,4,2,0,2,6,12,7,0,Matches
El Hadji Malick Diouf,sn SEN,DF,20-294,7.0,6,2,3,3,0,3,5,60.0,2,4,3,1,4,10,35,1,Matches
Max Kilman,eng ENG,DF,28-148,7.0,9,6,7,2,0,5,7,71.4,2,7,5,2,5,14,47,0,Matches
Lucas Paquetá,br BRA,"MF,FW",28-052,6.7,17,10,7,7,3,3,6,50.0,3,11,4,7,2,19,10,1,Matches
Konstantinos Mavropanos,gr GRE,DF,27-311,5.0,2,1,2,0,0,0,2,0.0,2,6,4,2,7,9,42,0,Matches
James Ward-Prowse,eng ENG,MF,30-351,4.6,4,2,1,3,0,2,6,33.3,4,5,1,4,5,9,3,0,Matches
Mateus Fernandes,pt POR,"MF,FW",21-100,4.4,14,8,8,6,0,6,13,46.2,7,6,1,5,2,16,3,0,Matches
Niclas Füllkrug,de GER,FW,32-251,4.2,2,1,1,1,0,1,2,50.0,1,1,1,0,2,4,5,0,Matches
Kyle Walker-Peters,eng ENG,DF,28-188,4.4,10,6,7,2,1,3,5,60.0,2,7,1,6,0,10,13,0,Matches
Mads Hermansen,dk DEN,GK,25-099,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Crysencio Summerville,nl NED,"MF,FW",23-353,3.5,4,2,2,1,1,3,5,60.0,2,4,2,2,1,5,10,0,Matches
Alphonse Areola,fr FRA,GK,32-233,3.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
Aaron Wan-Bissaka,cd COD,DF,27-326,2.9,1,1,0,0,1,1,1,100.0,0,5,1,4,1,2,11,1,Matches
Tomáš Souček,cz CZE,MF,30-233,2.6,4,2,3,1,0,1,3,33.3,2,2,0,2,3,7,13,0,Matches
Nayef Aguerd,ma MAR,DF,29-202,2.0,1,0,1,0,0,0,0,,0,4,2,2,1,2,11,0,Matches
Soungoutou Magassa,fr FRA,MF,22-010,1.8,5,2,4,0,1,3,6,50.0,3,6,3,3,1,6,5,0,Matches
Jean-Clair Todibo,fr FRA,DF,25-292,1.4,3,1,1,2,0,1,2,50.0,1,1,0,1,3,6,6,0,Matches
Callum Wilson,eng ENG,FW,33-233,1.9,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,Matches
Guido Rodríguez,ar ARG,MF,31-189,0.8,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,Matches
Freddie Potts,eng ENG,MF,22-036,1.2,3,2,1,2,0,3,3,100.0,0,0,0,0,0,3,4,0,Matches
Luis Guilherme,br BRA,"FW,MF",19-251,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Callum Marshall,nir NIR,FW,20-324,0.3,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,Matches
Andy Irving,sct SCO,MF,25-158,0.3,3,2,2,1,0,3,3,100.0,0,1,1,0,0,3,1,0,Matches
Igor,br BRA,DF,27-253,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,7.0,94,51,51,34,9,40,76,52.6,36,77,30,47,47,141,232,4,
Opponent Total,,,26.2,7.0,124,79,52,51,21,62,109,56.9,47,65,16,49,44,168,180,3,
