Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Bernd Leno,de GER,GK,33-228,7,7,630,7.0,11,1.57,29,19,69.0,2,2,3,1,14.3,3,2,0,1,0.0,Matches
Squad Total,,,28.0,7,7,630,7.0,11,1.57,29,19,69.0,2,2,3,1,14.3,3,2,0,1,0.0,
Opponent Total,,,26.1,7,7,630,7.0,8,1.14,19,13,57.9,3,2,2,1,14.3,0,0,0,0,,
