Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
James Garner,eng ENG,"MF,DF",24-219,7.0,18,13,10,6,2,10,20,50.0,10,13,3,10,11,29,23,1,Matches
Jake O'Brien,ie IRL,DF,24-156,7.0,12,8,7,5,0,8,10,80.0,2,5,2,3,3,15,27,2,Matches
Jordan Pickford,eng ENG,GK,31-225,7.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,11,0,Matches
James Tarkowski,eng ENG,DF,32-333,7.0,12,7,9,2,1,6,10,60.0,4,14,12,2,6,18,49,2,Matches
Idrissa Gana Gueye,sn SEN,MF,36-022,6.8,12,7,3,8,1,3,8,37.5,5,11,2,9,7,19,2,1,Matches
Michael Keane,eng ENG,DF,32-280,6.7,7,4,5,1,1,3,5,60.0,2,7,3,4,8,15,54,0,Matches
Iliman Ndiaye,sn SEN,FW,25-226,6.5,16,11,9,6,1,6,12,50.0,6,6,1,5,2,18,3,1,Matches
Jack Grealish,eng ENG,FW,30-038,6.2,11,9,2,5,4,5,7,71.4,2,7,4,3,4,15,5,0,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-042,6.0,8,3,2,5,1,4,5,80.0,1,3,0,3,3,11,5,0,Matches
Beto,gw GNB,FW,27-260,4.7,4,2,1,2,1,1,1,100.0,0,4,1,3,0,4,5,0,Matches
Vitaliy Mykolenko,ua UKR,DF,26-142,3.9,3,2,0,2,1,3,3,100.0,0,6,3,3,6,9,22,1,Matches
Tim Iroegbunam,eng ENG,MF,22-110,2.7,4,3,2,2,0,3,3,100.0,0,7,5,2,6,10,2,0,Matches
Thierno Barry,fr FRA,FW,22-362,2.3,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,Matches
Carlos Alcaraz,ar ARG,"MF,FW",22-322,1.8,6,3,1,3,2,5,8,62.5,3,3,1,2,0,6,0,1,Matches
Tyler Dibling,eng ENG,FW,19-220,0.7,2,1,1,0,1,0,0,,0,1,0,1,0,2,0,0,Matches
Merlin Röhl,de GER,MF,23-105,0.3,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,Matches
Dwight McNeil,eng ENG,FW,25-330,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Séamus Coleman,ie IRL,FW,37-007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Harrison Armstrong,eng ENG,FW,18-272,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,7.0,118,76,54,48,16,58,93,62.4,35,88,38,50,57,175,211,9,
Opponent Total,,,26.8,7.0,136,68,75,42,19,63,116,54.3,53,73,25,48,60,196,205,4,
