Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Moisés Caicedo,ec ECU,MF,23-350,7.0,400,439,91.1,6314,1836,215,223,96.4,166,177,93.8,16,25,64.0,0,0.1,0.2,-0.1,1,39,2,0,36,Matches
Enzo Fernández,ar ARG,MF,24-274,6.9,332,404,82.2,5263,1244,182,200,91.0,119,140,85.0,26,51,51.0,1,0.8,0.5,0.2,8,39,10,1,44,Matches
João Pedro,br BRA,"FW,MF",24-022,6.5,139,169,82.2,1782,291,98,105,93.3,27,37,73.0,6,9,66.7,3,1.4,0.2,1.6,7,9,6,0,19,Matches
Robert Sánchez,es ESP,GK,27-334,6.0,164,246,66.7,4247,2947,33,34,97.1,82,83,98.8,46,126,36.5,0,0.1,0.0,-0.1,2,6,0,0,0,Matches
Pedro Neto,pt POR,FW,25-223,5.6,144,203,70.9,2241,684,78,93,83.9,52,71,73.2,10,28,35.7,0,0.9,1.0,-0.9,9,4,8,1,17,Matches
Marc Cucurella,es ESP,DF,27-088,6.0,308,353,87.3,5112,1573,146,159,91.8,136,147,92.5,18,32,56.3,2,1.3,1.1,0.7,10,27,4,0,28,Matches
Trevoh Chalobah,eng ENG,DF,26-105,5.3,377,419,90.0,6942,1697,139,148,93.9,208,218,95.4,28,44,63.6,0,0.0,0.6,0.0,1,35,4,1,25,Matches
Reece James,eng ENG,DF,25-314,4.7,300,356,84.3,5271,1445,142,150,94.7,126,142,88.7,30,52,57.7,1,1.2,0.9,-0.2,9,25,4,1,19,Matches
Estêvão Willian,br BRA,FW,18-177,2.9,84,104,80.8,1372,204,43,51,84.3,37,41,90.2,3,8,37.5,1,1.2,1.2,-0.2,4,3,3,2,3,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,3.9,314,349,90.0,5739,1990,102,109,93.6,194,206,94.2,16,28,57.1,0,0.0,0.1,0.0,0,17,1,0,15,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,3.5,185,217,85.3,3064,652,94,104,90.4,75,85,88.2,13,17,76.5,1,0.1,0.1,0.9,2,15,2,0,18,Matches
Joshua Acheampong,eng ENG,DF,19-166,2.2,135,152,88.8,2261,441,58,63,92.1,75,79,94.9,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,4,Matches
Jorrel Hato,nl NED,DF,19-225,1.9,97,110,88.2,1439,386,49,56,87.5,45,46,97.8,2,6,33.3,0,0.0,0.0,0.0,0,5,0,0,4,Matches
Jamie Gittens,eng ENG,FW,21-071,1.8,38,43,88.4,577,63,24,24,100.0,12,13,92.3,2,2,100.0,0,0.1,0.1,-0.1,3,0,1,0,2,Matches
Cole Palmer,eng ENG,MF,23-165,1.6,40,53,75.5,617,158,20,24,83.3,17,21,81.0,3,5,60.0,0,0.0,0.1,0.0,1,3,2,0,11,Matches
Wesley Fofana,fr FRA,DF,24-305,1.4,96,105,91.4,1478,359,48,50,96.0,45,49,91.8,2,4,50.0,0,0.0,0.0,0.0,0,10,0,0,4,Matches
Liam Delap,eng ENG,FW,22-252,1.0,9,15,60.0,137,38,4,7,57.1,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,1,1,0,3,Matches
Andrey Santos,br BRA,MF,21-168,1.9,87,103,84.5,1173,361,53,60,88.3,27,30,90.0,1,2,50.0,0,0.1,0.0,-0.1,3,13,1,0,12,Matches
Alejandro Garnacho,ar ARG,FW,21-109,1.0,22,28,78.6,290,27,14,14,100.0,6,10,60.0,1,3,33.3,0,0.1,0.1,-0.1,1,0,0,0,1,Matches
Benoît Badiashile,fr FRA,DF,24-206,0.7,53,57,93.0,989,427,22,23,95.7,24,24,100.0,7,10,70.0,0,0.0,0.0,0.0,0,6,1,0,4,Matches
Facundo Buonanotte,ar ARG,MF,20-299,0.5,20,22,90.9,251,29,15,16,93.8,3,4,75.0,1,1,100.0,0,0.3,0.1,-0.3,2,2,0,0,0,Matches
Tyrique George,eng ENG,FW,19-256,1.5,19,22,86.4,326,83,9,10,90.0,8,9,88.9,2,2,100.0,0,0.0,0.1,0.0,0,3,2,1,4,Matches
Filip Jørgensen,dk DEN,GK,23-185,0.9,27,35,77.1,616,444,10,11,90.9,11,11,100.0,6,13,46.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Roméo Lavia,be BEL,MF,21-285,0.5,29,32,90.6,620,168,8,9,88.9,14,15,93.3,6,7,85.7,0,0.0,0.0,0.0,0,4,0,0,5,Matches
Marc Guiu,es ESP,FW,19-287,0.2,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,24.4,7.0,3419,4037,84.7,58121,17547,1606,1743,92.1,1514,1665,90.9,247,484,51.0,9,7.6,6.6,1.4,63,266,52,7,278,
Opponent Total,,,26.9,7.0,2176,2755,79.0,39211,14569,928,1056,87.9,983,1140,86.2,214,420,51.0,9,8.6,5.7,0.4,54,173,49,18,218,
