player,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,game_id
Team Totals,240,.656,.596,.513,.372,22.0,81.6,50.6,76.3,10.0,8.9,17.3,100.0,118.7,108.7,,202510210LAL
Team Totals,240,.610,.597,.416,.364,18.4,78.0,49.4,54.8,7.0,5.3,18.3,100.0,108.7,118.7,,202510210LAL
