Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Tijjani Reijnders,nl NED,MF,27-081,6.7,356,339,17,8,3,1,14,0,5,4,0,0,309,0,7,Matches
Erling Haaland,no NOR,FW,25-089,6.6,83,76,7,0,2,0,0,0,0,0,0,0,55,0,3,Matches
Rúben Dias,pt POR,DF,28-157,6.1,405,392,13,8,1,0,0,1,0,0,0,0,376,0,1,Matches
Nico O’Reilly,eng ENG,"DF,MF",20-211,4.4,265,215,48,4,0,0,3,44,0,0,0,0,222,2,7,Matches
Jeremy Doku,be BEL,"MF,FW",23-144,4.3,136,135,1,0,5,0,9,1,0,0,0,0,113,0,7,Matches
Bernardo Silva,pt POR,MF,31-069,4.1,200,181,17,5,2,0,12,5,5,3,1,1,171,2,4,Matches
Oscar Bobb,no NOR,"FW,MF",22-098,4.0,160,155,5,2,1,1,4,3,0,0,0,0,143,0,4,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4.0,112,86,26,12,0,0,0,0,0,0,0,0,80,0,2,Matches
Phil Foden,eng ENG,MF,25-143,3.9,237,216,21,3,1,3,20,1,17,4,12,0,192,0,7,Matches
Joško Gvardiol,hr CRO,DF,23-268,3.8,268,247,20,6,1,2,1,2,0,0,0,0,242,1,4,Matches
Rodri,es ESP,MF,29-118,3.2,241,232,9,9,0,1,0,0,0,0,0,0,209,0,2,Matches
Nicolás González,es ESP,MF,23-288,3.9,292,280,12,11,0,1,0,1,0,0,0,0,263,0,2,Matches
Matheus Nunes,pt POR,DF,27-052,3.7,293,263,30,2,0,1,3,28,0,0,0,0,254,0,4,Matches
James Trafford,eng ENG,GK,23-008,3.0,118,100,18,3,0,0,0,0,0,0,0,0,88,0,1,Matches
John Stones,eng ENG,DF,31-143,2.9,220,215,5,4,0,1,4,0,0,0,0,0,201,0,2,Matches
Abdukodir Khusanov,uz UZB,DF,21-231,2.5,148,124,23,4,0,0,0,18,0,0,0,0,121,1,4,Matches
Rayan Aït-Nouri,dz ALG,DF,24-134,2.2,121,100,21,2,0,0,2,19,0,0,0,0,105,0,6,Matches
Rico Lewis,eng ENG,DF,20-331,1.9,127,109,18,2,0,2,1,16,0,0,0,0,113,0,2,Matches
Sávio,br BRA,MF,21-191,1.9,85,84,1,0,0,0,3,1,0,0,0,0,73,0,3,Matches
Omar Marmoush,eg EGY,"FW,MF",26-253,1.7,49,48,1,1,2,0,2,0,0,0,0,0,39,0,5,Matches
Rayan Cherki,fr FRA,"MF,FW",22-062,0.8,64,61,3,1,1,1,2,0,2,0,1,0,53,0,0,Matches
Nathan Aké,nl NED,DF,30-242,1.3,61,51,10,4,0,1,2,5,0,0,0,0,52,0,0,Matches
Squad Total,,,25.6,7.0,4041,3709,326,91,19,15,82,145,29,11,14,1,3474,6,77,
Opponent Total,,,26.6,7.0,3012,2706,291,61,17,33,115,128,29,23,3,2,2391,15,46,
