Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Dean Henderson,eng ENG,GK,28-220,7.0,5,1,0,1,0,7.5,0.33,2.5,0.36,37,129,28.7,200,27,46.5,38.4,62,58.1,46.6,125,7,5.6,3,0.43,10.7,Matches
Squad Total,,,26.8,7.0,5,1,0,1,0,7.5,0.33,2.5,0.36,37,129,28.7,188,27,48.9,,74,50.0,40.8,125,7,5.6,3,0.43,,
Opponent Total,,,26.8,7.0,9,1,0,2,0,10.3,0.28,1.3,0.19,28,88,31.8,215,33,31.6,32.7,50,40.0,38.4,76,6,7.9,13,1.86,15.6,
