Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Marc Guéhi,eng ENG,DF,25-097,7.0,448,49,209,211,29,10,448,1,0,0.0,1,100.0,278,1383,844,5,3,0,0,4,301,1,Matches
Dean Henderson,eng ENG,GK,28-220,7.0,277,229,273,4,0,0,277,0,0,,0,,157,757,432,0,0,0,0,0,122,0,Matches
Maxence Lacroix,fr FRA,DF,25-195,7.0,400,82,234,155,12,8,400,2,1,50.0,1,50.0,225,909,486,0,0,0,4,2,254,3,Matches
Tyrick Mitchell,eng ENG,"DF,MF",26-047,7.0,407,25,133,170,109,16,407,10,1,10.0,6,60.0,175,959,524,16,11,1,8,7,209,51,Matches
Daniel Muñoz,co COL,"DF,MF",29-145,7.0,335,19,106,129,103,26,335,7,1,14.3,5,71.4,145,653,297,9,4,2,7,1,168,41,Matches
Chris Richards,us USA,DF,25-204,7.0,353,51,176,143,34,7,353,0,0,,0,,163,692,327,2,1,0,0,1,202,1,Matches
Jean-Philippe Mateta,fr FRA,FW,28-112,6.7,151,16,17,79,58,18,150,5,2,40.0,3,60.0,71,254,91,3,5,2,18,10,98,25,Matches
Adam Wharton,eng ENG,MF,21-254,5.0,242,5,63,140,44,2,242,6,6,100.0,0,0.0,123,578,361,7,5,1,6,1,146,5,Matches
Daichi Kamada,jp JPN,MF,29-074,4.8,227,3,42,124,65,8,227,7,4,57.1,1,14.3,113,562,273,5,1,0,10,3,140,15,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-235,4.8,147,12,27,66,57,13,147,8,2,25.0,4,50.0,78,585,338,11,9,4,12,11,102,23,Matches
Will Hughes,eng ENG,MF,30-184,4.6,193,8,47,99,48,5,193,3,2,66.7,1,33.3,78,307,177,2,3,0,2,4,103,3,Matches
Yeremi Pino,es ESP,MF,22-363,3.4,167,4,25,80,67,9,167,12,5,41.7,4,33.3,89,499,254,8,8,0,8,2,107,26,Matches
Jefferson Lerma,co COL,MF,30-358,2.1,114,9,33,59,22,4,114,1,0,0.0,0,0.0,49,140,77,1,1,1,1,1,60,2,Matches
Justin Devenny,nir NIR,"MF,FW",22-007,1.7,76,0,11,38,30,11,76,3,2,66.7,1,33.3,45,244,136,5,4,2,6,5,54,9,Matches
Eberechi Eze,eng ENG,MF,27-111,0.9,37,0,2,24,11,1,37,4,2,50.0,1,25.0,18,116,60,0,0,0,1,2,22,2,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-141,0.6,24,0,2,13,9,5,24,0,0,,0,,16,76,15,0,1,0,3,1,19,1,Matches
Romain Esse,eng ENG,FW,20-158,0.3,12,0,1,7,5,1,12,2,1,50.0,0,0.0,9,26,12,0,0,0,2,1,10,3,Matches
Christantus Uche,ng NGA,MF,22-152,0.1,13,0,0,4,9,2,13,0,0,,0,,8,27,20,1,0,1,1,0,11,3,Matches
Nathaniel Clyne,eng ENG,DF,34-196,0.1,5,2,3,0,2,0,5,0,0,,0,,3,7,6,0,0,0,0,0,3,0,Matches
Odsonne Édouard,fr FRA,FW,27-275,0.0,4,0,1,0,3,0,4,0,0,,0,,2,5,4,0,0,0,0,0,2,0,Matches
Squad Total,,,26.8,7.0,3632,514,1405,1545,717,146,3631,71,29,40.8,28,39.4,1845,8779,4734,75,56,14,89,56,2133,214,
Opponent Total,,,26.8,7.0,4711,402,1250,2404,1099,156,4710,150,62,41.3,73,48.7,2741,13839,7122,116,98,24,98,76,3237,321,
