Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Dean Henderson,eng ENG,GK,28-220,7,7,630,7.0,5,0.71,21,16,81.0,3,3,1,3,42.9,1,1,0,0,0.0,Matches
Squad Total,,,26.8,7,7,630,7.0,5,0.71,21,16,81.0,3,3,1,3,42.9,1,1,0,0,0.0,
Opponent Total,,,26.8,7,7,630,7.0,9,1.29,34,25,76.5,1,3,3,2,28.6,1,1,0,0,0.0,
