Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,6.9,263,8,32,115,119,25,263,24,7,29.2,16,66.7,181,899,446,12,6,3,26,14,202,40,Matches
Matty Cash,pl POL,DF,28-072,6.7,458,31,133,199,130,5,458,6,1,16.7,3,50.0,267,1295,606,11,6,1,3,5,278,32,Matches
Ollie Watkins,eng ENG,FW,29-292,6.6,147,3,13,56,80,29,147,11,5,45.5,5,45.5,94,467,209,10,3,7,10,8,117,40,Matches
John McGinn,sct SCO,"MF,FW",31-000,6.1,304,10,46,155,106,7,304,14,4,28.6,8,57.1,183,974,363,9,8,2,9,9,216,16,Matches
Ezri Konsa,eng ENG,DF,27-360,5.7,443,39,181,246,16,4,443,5,2,40.0,3,60.0,294,1609,928,4,1,0,6,0,326,1,Matches
Lucas Digne,fr FRA,DF,32-090,5.4,310,13,92,96,123,9,310,2,0,0.0,2,100.0,169,686,283,6,7,0,5,1,179,41,Matches
Tyrone Mings,eng ENG,DF,32-219,5.3,392,68,170,200,25,7,392,3,2,66.7,1,33.3,242,1325,711,1,4,0,1,1,252,3,Matches
Emiliano Martínez,ar ARG,GK,33-046,5.0,203,156,201,2,0,0,203,0,0,,0,,134,543,386,0,0,0,0,0,116,0,Matches
Youri Tielemans,be BEL,MF,28-164,3.5,260,5,32,167,62,7,260,3,3,100.0,0,0.0,156,644,323,8,3,0,4,3,192,10,Matches
Boubacar Kamara,fr FRA,MF,25-329,3.3,225,20,53,129,44,3,225,5,1,20.0,2,40.0,134,595,302,3,1,0,3,4,150,0,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,3.1,123,3,21,43,62,10,123,19,6,31.6,12,63.2,74,446,237,10,3,4,6,11,77,22,Matches
Lamare Bogarde,nl NED,MF,21-286,3.1,180,12,42,110,29,2,180,4,0,0.0,3,75.0,125,606,305,3,3,0,3,2,142,2,Matches
Emi Buendía,ar ARG,"MF,FW",28-297,3.3,171,9,26,76,71,17,171,8,1,12.5,7,87.5,87,487,307,11,7,4,4,10,105,13,Matches
Pau Torres,es ESP,DF,28-275,2.8,252,32,109,129,17,4,252,1,0,0.0,1,100.0,162,860,564,5,7,0,2,1,168,2,Matches
Donyell Malen,nl NED,FW,26-282,2.6,82,2,6,26,51,12,82,12,3,25.0,7,58.3,51,332,110,5,2,1,1,6,55,16,Matches
Marco Bizot,nl NED,GK,34-222,2.0,73,54,71,2,0,0,73,0,0,,0,,40,171,66,0,0,0,0,0,29,0,Matches
Amadou Onana,be BEL,MF,24-063,1.7,100,9,31,60,10,3,100,2,2,100.0,0,0.0,64,294,103,2,1,0,1,1,63,1,Matches
Ian Maatsen,nl NED,DF,23-222,1.6,155,5,29,61,65,4,155,1,0,0.0,0,0.0,94,406,208,6,5,0,1,1,104,13,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,1.1,74,1,6,29,40,5,74,2,0,0.0,0,0.0,52,273,121,3,5,0,2,0,58,11,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,0.3,16,0,5,11,0,0,16,0,0,,0,,6,20,2,0,0,0,1,0,9,0,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,0.2,12,0,3,3,6,0,12,2,0,0.0,1,50.0,7,68,23,1,1,0,0,0,6,4,Matches
Jadon Sancho,eng ENG,FW,25-207,0.1,20,0,0,2,18,2,20,1,0,0.0,1,100.0,14,84,50,1,0,1,0,0,15,6,Matches
Ross Barkley,eng ENG,MF,31-317,0.1,7,1,3,2,2,1,7,0,0,,0,,4,39,19,1,1,0,1,1,5,0,Matches
Squad Total,,,28.4,7.0,4270,481,1305,1919,1076,156,4270,125,37,29.6,72,57.6,2634,13123,6672,112,74,23,89,78,2864,273,
Opponent Total,,,27.3,7.0,3485,418,1213,1462,846,166,3484,99,42,42.4,35,35.4,1869,9161,4480,103,68,37,102,53,2065,194,
