Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Gabriel Magalhães,br BRA,DF,27-303,7.0,376,418,90.0,6761,1979,148,159,93.1,190,205,92.7,29,41,70.7,0,0.0,0.1,0.0,0,23,0,0,29,Matches
David Raya,es ESP,GK,30-033,7.0,188,256,73.4,5174,3693,44,44,100.0,92,94,97.9,52,118,44.1,0,0.1,0.0,-0.1,1,18,1,0,3,Matches
Viktor Gyökeres,se SWE,FW,27-136,6.4,41,74,55.4,498,108,29,45,64.4,7,12,58.3,2,4,50.0,0,0.3,0.5,-0.3,5,1,3,0,6,Matches
Riccardo Calafiori,it ITA,DF,23-152,5.8,241,301,80.1,3883,904,119,135,88.1,102,121,84.3,13,28,46.4,2,0.5,0.1,1.5,4,13,4,1,24,Matches
Martín Zubimendi,es ESP,MF,26-258,6.6,362,407,88.9,5900,1614,172,187,92.0,165,183,90.2,21,28,75.0,0,0.6,0.8,-0.6,5,27,4,0,36,Matches
Declan Rice,eng ENG,MF,26-277,6.0,370,435,85.1,6518,1660,165,181,91.2,167,177,94.4,33,67,49.3,2,1.2,1.2,0.8,11,27,6,2,36,Matches
Jurriën Timber,nl NED,DF,24-123,5.8,250,294,85.0,3944,1113,117,127,92.1,126,144,87.5,5,14,35.7,1,0.4,0.5,0.6,8,24,12,1,37,Matches
William Saliba,fr FRA,DF,24-208,4.5,357,383,93.2,6152,1866,151,153,98.7,187,199,94.0,15,22,68.2,0,0.1,0.1,-0.1,1,15,1,0,16,Matches
Bukayo Saka,eng ENG,FW,24-043,3.8,99,134,73.9,1694,352,55,62,88.7,31,41,75.6,11,23,47.8,0,0.8,1.5,-0.8,7,0,5,0,6,Matches
Noni Madueke,eng ENG,FW,23-222,3.4,73,122,59.8,1044,279,43,57,75.4,21,37,56.8,5,11,45.5,0,0.8,0.8,-0.8,8,0,7,1,9,Matches
Martin Ødegaard,no NOR,MF,26-305,2.3,111,140,79.3,1924,646,53,59,89.8,45,55,81.8,12,19,63.2,1,0.5,0.8,0.5,3,19,9,0,26,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,3.5,105,125,84.0,1619,374,57,61,93.4,40,47,85.1,6,9,66.7,2,0.7,0.8,1.3,3,5,5,0,18,Matches
Leandro Trossard,be BEL,FW,30-318,3.3,89,129,69.0,1734,411,34,46,73.9,40,50,80.0,12,20,60.0,1,0.3,0.5,0.7,5,5,7,2,8,Matches
Mikel Merino,es ESP,MF,29-118,2.7,79,101,78.2,1012,290,54,60,90.0,21,25,84.0,2,10,20.0,0,0.1,0.1,-0.1,2,9,3,0,10,Matches
Cristhian Mosquera,es ESP,DF,21-113,2.8,157,173,90.8,2657,743,64,67,95.5,79,87,90.8,10,14,71.4,0,0.0,0.0,0.0,0,3,0,0,5,Matches
Gabriel Martinelli,br BRA,FW,24-122,2.1,18,29,62.1,346,72,9,12,75.0,5,6,83.3,3,6,50.0,0,0.1,0.1,-0.1,2,1,1,0,4,Matches
Ben White,eng ENG,DF,28-010,0.8,21,27,77.8,353,131,10,11,90.9,10,12,83.3,1,3,33.3,0,0.0,0.0,0.0,1,5,0,0,4,Matches
Ethan Nwaneri,eng ENG,MF,18-211,1.7,72,81,88.9,1391,356,25,27,92.6,39,40,97.5,7,12,58.3,0,0.0,0.1,0.0,1,8,2,0,13,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,1.0,53,57,93.0,909,107,24,24,100.0,26,27,96.3,3,4,75.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Kai Havertz,de GER,FW,26-129,0.3,5,9,55.6,79,33,4,7,57.1,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Max Dowman,eng ENG,FW,15-291,0.3,4,4,100.0,66,0,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.1,7.0,3071,3699,83.0,53658,16731,1379,1526,90.4,1396,1566,89.1,242,453,53.4,9,6.5,8.2,2.5,67,205,70,7,293,
Opponent Total,,,26.6,7.0,2099,2695,77.9,37053,13303,988,1122,88.1,810,956,84.7,224,457,49.0,2,3.8,2.8,-1.8,49,151,34,6,172,
