Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Joachim Andersen,dk DEN,DF,29-140,7.0,543,73,280,235,28,11,543,2,2,100.0,0,0.0,322,1644,991,7,3,0,6,0,352,3,Matches
Calvin Bassey,ng NGA,DF,25-291,7.0,479,52,253,209,21,1,479,7,4,57.1,1,14.3,337,1717,912,10,2,0,2,7,347,2,Matches
Bernd Leno,de GER,GK,33-228,7.0,290,256,290,0,0,0,290,0,0,,0,,201,791,411,0,0,0,0,0,169,0,Matches
Sander Berge,no NOR,MF,27-246,6.6,358,15,94,218,47,3,358,4,0,0.0,4,100.0,214,1047,563,9,8,1,3,4,229,4,Matches
Saša Lukić,rs SRB,MF,29-066,6.1,292,19,56,143,97,11,292,4,1,25.0,1,25.0,151,721,376,12,7,1,4,4,171,18,Matches
Alex Iwobi,ng NGA,"FW,MF",29-168,6.0,322,5,52,161,118,4,322,15,5,33.3,9,60.0,242,1386,736,26,20,1,10,4,248,35,Matches
Joshua King,eng ENG,"MF,FW",18-288,5.2,170,3,23,82,70,22,170,13,7,53.8,5,38.5,117,869,385,13,13,4,15,9,127,29,Matches
Ryan Sessegnon,eng ENG,DF,25-153,5.3,327,21,106,127,96,20,327,7,2,28.6,5,71.4,163,943,478,14,9,5,10,2,168,33,Matches
Kenny Tete,nl NED,DF,30-009,5.0,303,22,105,137,66,5,303,6,1,16.7,1,16.7,147,637,370,7,7,1,3,3,160,6,Matches
Harry Wilson,wls WAL,"FW,MF",28-210,4.9,189,5,33,67,93,19,189,7,4,57.1,2,28.6,118,575,256,5,2,2,11,3,128,34,Matches
Rodrigo Muniz,br BRA,FW,24-167,3.5,94,9,9,48,38,17,94,8,3,37.5,5,62.5,44,100,24,0,1,0,18,4,64,7,Matches
Timothy Castagne,be BEL,"DF,FW",29-317,3.4,173,11,73,42,58,10,173,2,1,50.0,1,50.0,92,375,140,5,2,1,3,0,100,19,Matches
Raúl Jiménez,mx MEX,FW,34-166,1.6,53,4,6,22,25,6,53,2,0,0.0,2,100.0,27,67,17,0,0,0,7,3,38,5,Matches
Jorge Cuenca,es ESP,DF,25-335,1.0,66,11,43,20,3,2,66,0,0,,0,,49,128,56,0,1,0,0,0,48,0,Matches
Issa Diop,fr FRA,DF,28-282,0.9,49,8,26,20,3,0,49,0,0,,0,,31,186,108,1,1,0,2,0,29,0,Matches
Adama Traoré,es ESP,FW,29-266,1.6,59,0,3,23,33,8,59,7,3,42.9,3,42.9,37,258,129,6,0,3,4,3,40,10,Matches
Emile Smith Rowe,eng ENG,MF,25-082,1.5,102,0,14,41,47,2,102,6,1,16.7,5,83.3,62,267,130,2,5,1,2,0,76,10,Matches
Tom Cairney,sct SCO,MF,34-271,1.3,111,2,25,59,29,3,111,2,0,0.0,2,100.0,81,444,227,2,4,0,5,1,89,2,Matches
Kevin,br BRA,"FW,MF",22-287,1.0,72,2,10,29,35,1,72,10,6,60.0,3,30.0,48,356,142,5,7,1,8,6,53,13,Matches
Antonee Robinson,us USA,DF,28-071,0.7,72,0,15,22,35,2,72,2,1,50.0,1,50.0,42,214,100,4,0,0,3,0,52,10,Matches
Samuel Chukwueze,ng NGA,"FW,MF",26-149,0.4,35,0,2,12,21,5,35,8,3,37.5,3,37.5,24,228,78,3,0,2,1,0,25,6,Matches
Squad Total,,,28.0,7.0,4159,518,1518,1717,963,152,4159,112,44,39.3,53,47.3,2549,12953,6629,131,92,23,117,53,2713,246,
Opponent Total,,,26.1,7.0,4129,428,1427,1791,947,146,4126,112,37,33.0,58,51.8,2289,12158,6253,127,78,40,121,66,2679,259,
