Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Marc Guéhi,eng ENG,DF,25-097,7.0,326,380,85.8,5783,2116,128,137,93.4,165,182,90.7,27,50,54.0,1,0.5,0.4,0.5,3,30,1,0,32,Matches
Dean Henderson,eng ENG,GK,28-220,7.0,168,262,64.1,4641,3201,53,53,100.0,61,62,98.4,53,146,36.3,0,0.0,0.0,0.0,1,5,1,0,0,Matches
Maxence Lacroix,fr FRA,DF,25-195,7.0,263,301,87.4,5172,1737,86,92,93.5,148,158,93.7,28,46,60.9,1,0.6,0.2,0.4,2,9,1,0,8,Matches
Tyrick Mitchell,eng ENG,"DF,MF",26-047,7.0,220,305,72.1,3447,1086,114,127,89.8,89,113,78.8,12,34,35.3,0,0.6,0.5,-0.6,8,11,7,6,12,Matches
Daniel Muñoz,co COL,"DF,MF",29-145,7.0,182,241,75.5,3067,1032,95,110,86.4,67,86,77.9,18,29,62.1,1,1.6,1.2,-0.6,4,7,7,4,16,Matches
Chris Richards,us USA,DF,25-204,7.0,211,260,81.2,4206,1400,61,70,87.1,134,150,89.3,16,37,43.2,0,0.3,0.6,-0.3,2,9,0,0,11,Matches
Jean-Philippe Mateta,fr FRA,FW,28-112,6.7,52,82,63.4,794,152,30,37,81.1,14,20,70.0,6,10,60.0,0,0.1,0.4,-0.1,1,3,2,1,6,Matches
Adam Wharton,eng ENG,MF,21-254,5.0,160,204,78.4,2936,1067,58,68,85.3,85,94,90.4,14,32,43.8,0,1.8,1.3,-1.8,11,20,5,0,27,Matches
Daichi Kamada,jp JPN,MF,29-074,4.8,137,176,77.8,2288,691,68,80,85.0,51,58,87.9,12,25,48.0,0,0.9,0.7,-0.9,5,14,5,1,19,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-235,4.8,70,95,73.7,1134,383,35,46,76.1,31,35,88.6,3,6,50.0,1,0.5,0.3,0.5,5,7,6,0,17,Matches
Will Hughes,eng ENG,MF,30-184,4.6,123,154,79.9,2018,702,66,77,85.7,43,52,82.7,11,20,55.0,0,0.5,0.6,-0.5,5,9,6,1,25,Matches
Yeremi Pino,es ESP,MF,22-363,3.4,88,123,71.5,1460,434,45,55,81.8,29,42,69.0,11,18,61.1,0,1.0,0.6,-1.0,5,11,5,0,24,Matches
Jefferson Lerma,co COL,MF,30-358,2.1,66,85,77.6,1135,423,30,33,90.9,28,32,87.5,6,16,37.5,0,0.0,0.0,0.0,1,6,0,0,10,Matches
Justin Devenny,nir NIR,"MF,FW",22-007,1.7,38,54,70.4,619,134,20,24,83.3,14,18,77.8,3,8,37.5,0,0.1,0.2,-0.1,2,5,1,0,5,Matches
Eberechi Eze,eng ENG,MF,27-111,0.9,16,25,64.0,241,34,7,9,77.8,7,10,70.0,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-141,0.6,10,13,76.9,183,31,4,4,100.0,5,8,62.5,1,1,100.0,0,0.1,0.0,-0.1,2,1,0,0,1,Matches
Romain Esse,eng ENG,FW,20-158,0.3,5,7,71.4,72,29,2,2,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,1,1,0,2,Matches
Christantus Uche,ng NGA,MF,22-152,0.1,5,10,50.0,70,11,3,5,60.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Nathaniel Clyne,eng ENG,DF,34-196,0.1,3,3,100.0,28,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Odsonne Édouard,fr FRA,FW,27-275,0.0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.8,7.0,2143,2781,77.1,39294,14670,908,1032,88.0,975,1127,86.5,222,484,45.9,4,8.6,7.0,-4.6,57,151,48,13,216,
Opponent Total,,,26.8,7.0,3266,3925,83.2,59709,18386,1326,1451,91.4,1594,1761,90.5,294,540,54.4,2,5.8,6.7,-3.8,61,285,59,17,323,
