Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Nathan Collins,ie IRL,DF,24-171,7.0,271,260,10,6,0,0,0,0,0,0,0,0,231,1,0,Matches
Sepp van den Berg,nl NED,DF,23-302,7.0,273,258,14,3,0,0,0,2,0,0,0,0,246,1,1,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7.0,260,189,70,34,0,0,0,0,0,0,0,0,180,1,0,Matches
Michael Kayode,it ITA,DF,21-100,6.8,261,189,72,2,0,0,8,70,0,0,0,0,189,0,7,Matches
Yehor Yarmoliuk,ua UKR,MF,21-231,6.7,218,213,4,3,0,3,3,1,0,0,0,0,178,1,3,Matches
Thiago,br BRA,FW,24-114,6.2,96,93,3,0,1,0,3,0,0,0,0,0,69,0,1,Matches
Kevin Schade,de GER,FW,23-325,6.4,99,91,8,0,1,0,6,5,1,1,0,0,58,0,2,Matches
Jordan Henderson,eng ENG,MF,35-123,5.3,242,238,4,3,1,0,11,0,0,0,0,0,185,0,4,Matches
Mikkel Damsgaard,dk DEN,MF,25-107,4.6,175,132,41,8,0,0,35,2,21,9,6,3,120,2,3,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-238,4.4,108,87,21,3,0,0,11,16,2,0,2,0,78,0,2,Matches
Dango Ouattara,bf BFA,FW,23-249,3.5,59,57,2,0,1,0,10,0,0,0,0,0,21,0,2,Matches
Aaron Hickey,sct SCO,DF,23-130,2.1,87,72,15,2,0,0,0,13,0,0,0,0,69,0,1,Matches
Mathias Jensen,dk DEN,MF,29-290,2.0,69,58,11,2,1,0,9,3,6,4,1,0,50,0,0,Matches
Ethan Pinnock,jm JAM,DF,32-142,1.7,71,68,3,0,0,0,0,2,0,0,0,0,51,0,1,Matches
Rico Henry,eng ENG,DF,28-102,1.9,69,59,9,0,0,0,7,9,0,0,0,0,36,1,5,Matches
Kristoffer Ajer,no NOR,DF,27-184,1.3,50,48,1,0,0,0,0,1,0,0,0,0,43,1,0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-049,1.1,27,22,5,1,0,0,4,0,3,0,2,0,19,0,0,Matches
Antoni Milambo,nl NED,MF,20-198,0.5,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Frank Onyeka,ng NGA,MF,27-290,1.0,36,36,0,0,0,0,0,0,0,0,0,0,28,0,0,Matches
Vitaly Janelt,de GER,MF,27-161,0.5,29,26,2,2,0,0,3,0,0,0,0,0,20,1,0,Matches
Squad Total,,,25.3,7.0,2511,2207,295,69,5,3,110,124,33,14,11,3,1879,9,32,
Opponent Total,,,26.4,7.0,3968,3648,310,92,16,24,122,134,29,18,2,0,3318,10,73,
