Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Dan Burn,eng ENG,DF,33-162,7.0,0,2,0,0.0,0.29,0.0,0.0,,11.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Nick Pope,eng ENG,GK,33-182,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sandro Tonali,it ITA,MF,25-163,6.7,0,9,3,33.3,1.34,0.45,0.0,0.0,22.8,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Bruno Guimarães,br BRA,MF,27-336,6.0,2,4,2,50.0,0.67,0.33,0.5,1.0,20.9,0,0,0,0.3,0.3,0.08,1.7,1.7,Matches
Valentino Livramento,eng ENG,DF,22-340,5.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kieran Trippier,eng ENG,DF,35-029,4.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joelinton,br BRA,MF,29-065,4.4,0,6,2,33.3,1.35,0.45,0.0,0.0,19.4,0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
Fabian Schär,ch SUI,DF,33-302,3.9,0,4,0,0.0,1.03,0.0,0.0,,39.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Sven Botman,nl NED,DF,25-279,3.8,0,1,1,100.0,0.27,0.27,0.0,0.0,9.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Jacob Murphy,eng ENG,"FW,MF",30-236,3.5,0,12,5,41.7,3.47,1.45,0.0,0.0,19.2,0,0,0,1.4,1.4,0.12,-1.4,-1.4,Matches
Nick Woltemade,de GER,FW,23-246,3.4,3,6,2,33.3,1.79,0.6,0.33,1.0,10.5,0,1,1,1.9,1.1,0.19,1.1,0.9,Matches
Anthony Gordon,eng ENG,FW,24-236,3.0,0,12,4,33.3,4.01,1.34,0.0,0.0,18.1,0,0,0,1.3,1.3,0.1,-1.3,-1.3,Matches
Anthony Elanga,se SWE,"FW,MF",23-174,3.7,0,3,1,33.3,0.82,0.27,0.0,0.0,13.0,0,0,0,0.6,0.6,0.2,-0.6,-0.6,Matches
Harvey Barnes,eng ENG,"FW,MF",27-313,3.5,0,8,1,12.5,2.27,0.28,0.0,0.0,20.0,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
Malick Thiaw,de GER,DF,24-071,3.0,0,4,2,50.0,1.32,0.66,0.0,0.0,10.4,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
Lewis Miley,eng ENG,MF,19-170,1.9,0,1,0,0.0,0.53,0.0,0.0,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
William Osula,dk DEN,FW,22-075,1.8,1,3,1,33.3,1.65,0.55,0.33,1.0,14.1,0,0,0,0.4,0.4,0.13,0.6,0.6,Matches
Lewis Hall,eng ENG,DF,21-040,1.5,0,1,0,0.0,0.67,0.0,0.0,,26.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Joe Willock,eng ENG,MF,26-059,1.0,0,1,0,0.0,1.03,0.0,0.0,,13.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Jacob Ramsey,eng ENG,MF,24-143,0.7,0,1,0,0.0,1.5,0.0,0.0,,17.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Jamaal Lascelles,eng ENG,DF,31-341,0.2,0,1,0,0.0,4.29,0.0,0.0,,12.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Squad Total,,,28.0,7.0,6,79,24,30.4,11.29,3.43,0.06,0.21,18.8,1,1,1,8.4,7.6,0.1,-2.4,-2.6,
Opponent Total,,,26.7,7.0,5,62,24,38.7,8.86,3.43,0.08,0.21,17.5,4,0,0,4.7,4.7,0.08,0.3,0.3,
