Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Lewis Dunk,eng ENG,DF,33-331,7.0,2,0.29,1,0,0,1,0,0,1,0.14,0,0,0,1,0,0,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7.0,6,0.86,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Bart Verbruggen,nl NED,GK,23-061,7.0,1,0.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yankuba Minteh,gm GAM,FW,21-088,6.6,24,3.65,14,1,5,2,1,1,3,0.46,2,0,1,0,0,0,Matches
Kaoru Mitoma,jp JPN,FW,28-151,5.6,12,2.13,10,0,2,0,0,0,1,0.18,1,0,0,0,0,0,Matches
Carlos Baleba,cm CMR,MF,21-288,3.9,3,0.76,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Yasin Ayari,se SWE,MF,22-012,6.0,14,2.32,10,3,0,1,0,0,1,0.17,1,0,0,0,0,0,Matches
Danny Welbeck,eng ENG,FW,34-326,4.1,7,1.71,6,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,4.1,12,2.94,8,0,0,0,4,0,3,0.74,2,0,0,0,1,0,Matches
Joël Veltman,nl NED,DF,33-276,3.6,3,0.83,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Maxim De Cuyper,be BEL,DF,24-300,3.3,8,2.43,5,2,0,0,0,1,1,0.3,1,0,0,0,0,0,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,4.2,10,2.39,9,1,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
Diego Gómez,py PAR,MF,22-205,3.5,8,2.32,4,0,0,0,2,2,0,0.0,0,0,0,0,0,0,Matches
Mats Wieffer,nl NED,DF,25-336,3.2,6,1.89,6,0,0,0,0,0,1,0.32,1,0,0,0,0,0,Matches
Brajan Gruda,de GER,"MF,FW",21-140,2.5,10,4.04,6,0,3,0,1,0,2,0.81,1,0,1,0,0,0,Matches
Matt O'Riley,dk DEN,MF,24-331,2.0,4,2.03,2,1,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Jack Hinshelwood,eng ENG,MF,20-190,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Milner,eng ENG,MF,39-287,1.6,5,3.17,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,0.6,2,3.53,0,0,0,2,0,0,1,1.76,0,0,0,1,0,0,Matches
Diego Coppola,it ITA,DF,21-294,0.2,1,5.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.1,7.0,138,19.71,96,9,11,8,9,5,15,2.14,10,0,2,2,1,0,
Opponent Total,,,26.4,7.0,137,19.57,95,12,11,6,9,4,14,2.0,9,0,2,2,1,0,
