Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Nathan Collins,ie IRL,DF,24-171,7.0,4,1,4,0,0,2,4,50.0,2,12,8,4,9,13,41,0,Matches
Sepp van den Berg,nl NED,DF,23-302,7.0,3,2,2,1,0,2,4,50.0,2,6,4,2,4,7,45,1,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Michael Kayode,it ITA,DF,21-100,6.8,14,6,8,6,0,9,11,81.8,2,9,5,4,7,21,21,0,Matches
Yehor Yarmoliuk,ua UKR,MF,21-231,6.7,14,9,5,9,0,8,15,53.3,7,20,4,16,4,18,11,0,Matches
Thiago,br BRA,FW,24-114,6.2,9,5,1,5,3,3,5,60.0,2,5,1,4,1,10,14,0,Matches
Kevin Schade,de GER,FW,23-325,6.4,14,6,2,6,6,3,7,42.9,4,4,2,2,3,17,3,0,Matches
Jordan Henderson,eng ENG,MF,35-123,5.3,6,2,4,2,0,3,5,60.0,2,4,1,3,4,10,8,0,Matches
Mikkel Damsgaard,dk DEN,MF,25-107,4.6,11,6,2,5,4,3,14,21.4,11,16,2,14,5,16,5,0,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-238,4.4,7,5,4,2,1,4,5,80.0,1,1,0,1,2,9,11,0,Matches
Dango Ouattara,bf BFA,FW,23-249,3.5,4,2,1,1,2,2,4,50.0,2,7,0,7,3,7,8,0,Matches
Aaron Hickey,sct SCO,DF,23-130,2.1,4,2,4,0,0,4,6,66.7,2,3,0,3,1,5,5,0,Matches
Mathias Jensen,dk DEN,MF,29-290,2.0,7,5,0,5,2,2,5,40.0,3,2,0,2,1,8,6,0,Matches
Ethan Pinnock,jm JAM,DF,32-142,1.7,2,1,1,1,0,0,2,0.0,2,5,4,1,2,4,7,0,Matches
Rico Henry,eng ENG,DF,28-102,1.9,4,4,2,2,0,2,2,100.0,0,0,0,0,2,6,4,1,Matches
Kristoffer Ajer,no NOR,DF,27-184,1.3,4,3,0,3,1,3,3,100.0,0,1,1,0,1,5,4,0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-049,1.1,3,2,0,1,2,1,1,100.0,0,1,0,1,0,3,1,0,Matches
Antoni Milambo,nl NED,MF,20-198,0.5,3,1,1,2,0,0,0,,0,2,0,2,0,3,0,0,Matches
Frank Onyeka,ng NGA,MF,27-290,1.0,2,0,2,0,0,0,2,0.0,2,0,0,0,0,2,2,0,Matches
Vitaly Janelt,de GER,MF,27-161,0.5,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,25.3,7.0,117,62,44,51,22,52,97,53.6,45,98,32,66,49,166,197,2,
Opponent Total,,,26.4,7.0,118,70,53,45,20,61,107,57.0,46,38,14,24,51,169,199,5,
