Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-302,7.0,22,3.14,13,0,4,4,1,0,0,0.0,0,0,0,0,0,0,Matches
El Hadji Malick Diouf,sn SEN,DF,20-294,7.0,11,1.57,8,2,1,0,0,0,3,0.43,2,1,0,0,0,0,Matches
Max Kilman,eng ENG,DF,28-148,7.0,5,0.71,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Paquetá,br BRA,"MF,FW",28-052,6.7,15,2.23,11,4,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Konstantinos Mavropanos,gr GRE,DF,27-311,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Ward-Prowse,eng ENG,MF,30-351,4.6,19,4.14,8,9,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Mateus Fernandes,pt POR,"MF,FW",21-100,4.4,6,1.36,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Niclas Füllkrug,de GER,FW,32-251,4.2,6,1.42,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kyle Walker-Peters,eng ENG,DF,28-188,4.4,6,1.37,5,0,1,0,0,0,1,0.23,1,0,0,0,0,0,Matches
Mads Hermansen,dk DEN,GK,25-099,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Crysencio Summerville,nl NED,"MF,FW",23-353,3.5,13,3.75,9,0,2,0,2,0,4,1.15,3,0,0,0,1,0,Matches
Alphonse Areola,fr FRA,GK,32-233,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Aaron Wan-Bissaka,cd COD,DF,27-326,2.9,6,2.09,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tomáš Souček,cz CZE,MF,30-233,2.6,1,0.39,1,0,0,0,0,0,1,0.39,1,0,0,0,0,0,Matches
Nayef Aguerd,ma MAR,DF,29-202,2.0,2,1.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Soungoutou Magassa,fr FRA,MF,22-010,1.8,1,0.56,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jean-Clair Todibo,fr FRA,DF,25-292,1.4,1,0.71,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Callum Wilson,eng ENG,FW,33-233,1.9,5,2.6,1,0,2,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Guido Rodríguez,ar ARG,MF,31-189,0.8,1,1.29,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Freddie Potts,eng ENG,MF,22-036,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Guilherme,br BRA,"FW,MF",19-251,0.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Callum Marshall,nir NIR,FW,20-324,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Andy Irving,sct SCO,MF,25-158,0.3,1,3.33,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Igor,br BRA,DF,27-253,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,7.0,121,17.29,83,17,10,6,5,0,9,1.29,7,1,0,0,1,0,
Opponent Total,,,26.2,7.0,172,24.57,128,19,5,13,7,0,28,4.0,21,2,1,3,1,0,
