Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Mads Hermansen,dk DEN,GK,25-099,4.0,11,0,0,6,0,9.3,0.46,-1.7,-0.43,19,72,26.4,141,19,41.1,33.9,16,87.5,61.3,72,5,6.9,1,0.25,8.8,Matches
Alphonse Areola,fr FRA,GK,32-233,3.0,5,1,0,2,0,3.9,0.24,-1.1,-0.35,11,48,22.9,82,15,41.5,35.4,24,58.3,45.7,49,2,4.1,0,0.0,5.2,Matches
Squad Total,,,27.3,7.0,16,1,0,8,0,13.2,0.37,-2.8,-0.39,30,120,25.0,205,34,44.9,,58,48.3,38.9,121,7,5.8,1,0.14,,
Opponent Total,,,26.2,7.0,6,1,0,1,0,6.9,0.24,0.9,0.12,28,79,35.4,181,29,37.6,35.1,45,24.4,25.7,92,3,3.3,5,0.71,11.9,
