Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Joe Rodon,wls WAL,DF,27-361,7.0,5,3,5,0,0,4,4,100.0,0,6,4,2,8,13,46,0,Matches
Pascal Struijk,nl NED,DF,26-068,7.0,4,4,0,4,0,2,3,66.7,1,4,2,2,2,6,49,0,Matches
Jayden Bogle,eng ENG,DF,25-083,6.8,21,11,11,8,2,13,21,61.9,8,4,1,3,11,32,20,0,Matches
Gabriel Gudmundsson,se SWE,DF,26-172,6.7,15,9,9,4,2,9,14,64.3,5,8,3,5,6,21,27,1,Matches
Anton Stach,de GER,MF,26-337,6.7,14,8,6,7,1,6,7,85.7,1,9,2,7,3,17,13,1,Matches
Sean Longstaff,eng ENG,MF,27-353,5.3,23,15,5,15,3,11,24,45.8,13,9,2,7,3,26,6,0,Matches
Ethan Ampadu,wls WAL,MF,25-034,4.9,12,5,5,3,4,5,6,83.3,1,2,1,1,6,18,13,1,Matches
Brenden Aaronson,us USA,FW,24-361,4.4,13,9,6,5,2,9,18,50.0,9,7,0,7,2,15,8,0,Matches
Karl Darlow,wls WAL,GK,35-010,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-216,4.0,2,1,0,2,0,0,1,0.0,1,2,0,2,1,3,2,0,Matches
Noah Okafor,ch SUI,FW,25-147,3.4,7,5,3,2,2,1,4,25.0,3,2,0,2,3,10,1,0,Matches
Lucas Perri,br BRA,GK,27-312,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Daniel James,wls WAL,FW,27-342,2.4,1,1,0,1,0,0,2,0.0,2,4,0,4,0,1,2,0,Matches
Wilfried Gnonto,it ITA,FW,21-347,2.1,9,7,5,4,0,5,7,71.4,2,2,0,2,2,11,0,0,Matches
Ilia Gruev,bg BUL,MF,25-165,2.2,5,4,3,2,0,2,6,33.3,4,2,1,1,3,8,2,0,Matches
Ao Tanaka,jp JPN,MF,27-038,2.0,1,1,1,0,0,1,7,14.3,6,2,0,2,3,4,0,0,Matches
Joël Piroe,nl NED,"FW,MF",26-077,1.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Lukas Nmecha,de GER,FW,26-308,1.7,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,5,0,Matches
Jack Harrison,eng ENG,"FW,DF",28-332,1.5,3,1,1,1,1,2,3,66.7,1,2,0,2,3,6,0,0,Matches
James Justin,eng ENG,DF,27-237,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0,Matches
Sam Byram,eng ENG,DF,32-032,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,7.0,135,84,60,58,17,70,129,54.3,59,68,17,51,57,192,199,3,
Opponent Total,,,26.6,7.0,128,75,62,45,21,62,102,60.8,40,93,27,66,37,165,150,7,
