Player,Team,Update,Description
Colin Castleton,Orlando Magic,"Wed, Dec 17, 2025",Out (Thumb) - The Magic listed Castleton as Out on Thursday's (Dec. 18) game versus the Nuggets.
Tristan Da Silva,Orlando Magic,"Wed, Dec 17, 2025",Day To Day (Shoulder) - The Magic listed da Silva as Questionable on Thursday's (Dec. 18) game versus the Nuggets.
Jalen Suggs,Orlando Magic,"Mon, Dec 15, 2025","Out (Hip) - Suggs was diagnosed with a left hip contusion following an MRI on Monday (Dec. 15), as per Ohm Youngmisuk of ESPN.com reports."
Franz Wagner,Orlando Magic,"Mon, Dec 8, 2025","Out (Leg) - Wagner was diagnosed with a high left ankle sprain Monday (Dec. 8) and could miss two-to-four weeks, as per ESPN's Shams Charania."
Moritz Wagner,Orlando Magic,"Sat, Dec 13, 2025","Out (Knee) - HC Mosley said that Wagner won't be available during Orlando's upcoming four-game road trip, according to Jason Beede of the Orlando Sentinel."
