Rk,Unnamed: 1,Salary
1,Jimmy Butler,"$34,379,100"
2,Victor Oladipo,"$21,000,000"
3,Goran Dragić,"$18,000,000"
4,Andre Iguodala,"$15,000,000"
5,Trevor Ariza,"$12,800,000"
6,Nemanja Bjelica,"$7,150,000"
7,Ryan Anderson,"$5,214,583"
8,Bam Adebayo,"$5,115,492"
9,Tyler Herro,"$3,822,240"
10,Precious Achiuwa,"$2,582,160"
11,Duncan Robinson,"$1,663,861"
12,Kendrick Nunn,"$1,663,861"
13,Udonis Haslem,"$1,620,564"
14,KZ Okpala,"$1,517,981"
15,Dewayne Dedmon,"$432,890"
16,A.J. Hammons,"$350,087"
17,Omer Yurtseven,"$18,458"
18,Max Strus,$0
19,Gabe Vincent,$0
