Player,Team,Update,Description
Tyrese Haliburton,Indiana Pacers,"Mon, Jul 7, 2025",Out For Season (Achilles) - The Pacers confirmed that Haliburton will miss the 2025-2026 season as he recovers from a torn Achilles.
Aaron Nesmith,Indiana Pacers,"Sat, Nov 15, 2025","Out (Knee) - Nesmith is expected to be out for around four weeks, Dustin Dopirak of The Indianapolis Star reports."
Ben Sheppard,Indiana Pacers,"Wed, Dec 17, 2025",Day To Day (Calf) - The Pacers listed Sheppard as Doubtful onn Thursday's (Dec.18) game against the Knicks.
Obi Toppin,Indiana Pacers,"Fri, Oct 31, 2025",Out (Foot) - The Pacers announced that Toppin will undergo foot surgery and miss at least three months.
