Rk,Unnamed: 1,Salary
1,Nikola Jokić,"$30,510,423"
2,Jamal Murray,"$29,467,800"
3,Aaron Gordon,"$16,409,091"
4,Will Barton,"$15,625,000"
5,Monte Morris,"$8,849,071"
6,JaMychal Green,"$8,200,000"
7,Michael Porter,"$5,258,735"
8,Jeff Green,"$4,500,000"
9,Bryn Forbes,"$4,500,000"
10,Facundo Campazzo,"$2,975,000"
11,Zeke Nnaji,"$2,498,760"
12,Austin Rivers,"$2,401,537"
13,Bones Hyland,"$2,096,880"
14,Vlatko Čančar,"$1,782,621"
15,DeMarcus Cousins,"$1,138,659"
16,Davon Reed,"$286,164"
17,James Ennis,"$128,709"
18,Rayjon Tucker,"$95,930"
19,Carlik Jones,"$53,176"
20,Markus Howard,$0
21,Petr Cornelie,$0
