Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19730,3523,7493,0.47,1015,2915,0.348,2508,4578,0.548,1266,1657,0.764,755,2613,3368,2288,623,415,1147,1637,9327
Team/G,,240.6,43.0,91.4,0.47,12.4,35.5,0.348,30.6,55.8,0.548,15.4,20.2,0.764,9.2,31.9,41.1,27.9,7.6,5.1,14.0,20.0,113.7
Lg Rank,,23,11,4,17.0,21,14,25.0,6,9,15.0,28,25,24.0,28,24,29,9,14,14,20,25,17
Year/Year,,-0.1%,1.9%,5.1%,-0.015,9.7%,12.1%,-0.007,-0.9%,1.1%,-0.011,-12.2%,-9.8%,-0.021,-2.5%,-6.8%,-5.9%,9.8%,11.1%,-2.1%,-0.9%,6.4%,0.5%
Opponent,82.0,19730,3777,7618,0.496,1007,2782,0.362,2770,4836,0.573,1528,1966,0.777,993,3020,4013,2382,655,496,1152,1473,10089
Opponent/G,,240.6,46.1,92.9,0.496,12.3,33.9,0.362,33.8,59.0,0.573,18.6,24.0,0.777,12.1,36.8,48.9,29.0,8.0,6.0,14.0,18.0,123.0
Lg Rank,,23,30,29,29.0,8,10,13.0,29,29,28.0,26,27,10.0,30,30,30,29,22,26,9,23,30
Year/Year,,-0.1%,8.5%,3.5%,0.023,2.3%,3.5%,-0.004,10.9%,3.4%,0.039,6.7%,9.6%,-0.021,12.5%,14.2%,13.7%,17.1%,12.7%,22.2%,14.3%,-7.4%,7.6%
