Rk,Unnamed: 1,Salary
1,Malcolm Brogdon,"$20,700,000"
2,Domantas Sabonis,"$19,800,000"
3,Myles Turner,"$17,500,000"
4,Caris LeVert,"$16,203,704"
5,T.J. Warren,"$12,000,000"
6,Jeremy Lamb,"$10,500,000"
7,Doug McDermott,"$7,333,333"
8,Justin Holiday,"$5,720,400"
9,T.J. McConnell,"$3,500,000"
10,Goga Bitadze,"$2,957,520"
11,Aaron Holiday,"$2,345,640"
12,Monta Ellis,"$2,245,400"
13,Edmond Sumner,"$2,160,000"
14,JaKarr Sampson,"$1,620,564"
15,Jalen Lecque,"$1,517,981"
16,Oshae Brissett,"$955,493"
17,Kelan Martin,"$801,900"
18,Amida Brimah,$0
19,Cassius Stanley,$0
20,Brian Bowen,$0
