Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,De'Aaron Fox,25.0,PG,7,7,270,0.424,15.9,0.618,0.061,0.267,0.188,0.103,0.382,0.48,0.6,0.432,0.581,0.353,0.333,0.082,0.619,0.024,3,0.111,0.286,0,0,
2.0,Domantas Sabonis,26.0,C,7,7,243,0.495,7.4,0.949,0.313,0.455,0.04,0.141,0.051,0.511,0.677,0.4,0.75,0.429,0.2,0.521,1.0,0.081,8,0.2,1.0,0,0,
3.0,Malik Monk,24.0,SG,7,0,205,0.409,14.3,0.581,0.118,0.366,0.075,0.022,0.419,0.463,0.818,0.441,0.143,0.0,0.333,0.36,0.692,0.0,0,0.154,0.167,0,0,
4.0,Harrison Barnes,30.0,PF,7,7,196,0.417,14.1,0.583,0.217,0.317,0.05,0.0,0.417,0.543,0.615,0.474,0.667,,0.24,0.474,1.0,0.083,5,0.28,0.286,1,0,
5.0,Keegan Murray,22.0,SF,7,7,194,0.448,17.3,0.448,0.155,0.138,0.103,0.052,0.552,0.538,0.667,0.125,0.833,0.667,0.375,0.5,1.0,0.052,3,0.375,0.333,0,0,
6.0,Kevin Huerter,24.0,SG,7,7,183,0.347,17.7,0.458,0.069,0.194,0.167,0.028,0.542,0.515,1.0,0.429,0.417,0.5,0.205,0.882,0.875,0.028,2,0.231,0.222,0,0,
7.0,Davion Mitchell,24.0,PG,7,0,140,0.413,19.8,0.413,0.065,0.152,0.065,0.13,0.587,0.632,0.667,0.714,0.667,0.5,0.259,0.417,1.0,0.022,1,0.37,0.1,1,0,
8.0,Trey Lyles,27.0,PF,7,0,118,0.425,17.4,0.325,0.175,0.15,0.0,0.0,0.675,0.615,0.571,0.667,,,0.333,0.625,1.0,0.075,3,0.593,0.313,0,0,
9.0,Terence Davis,25.0,SG,4,0,58,0.4,22.4,0.15,0.0,0.15,0.0,0.0,0.85,0.667,,0.667,,,0.353,0.0,0.667,0.0,0,0.118,1.0,0,0,
10.0,Alex Len,29.0,C,7,0,54,0.778,2.0,1.0,0.778,0.222,0.0,0.0,0.0,0.778,0.857,0.5,,,,0.714,,0.556,5,,,0,0,
11.0,Kessler Edwards,22.0,SF,6,0,7,,,,,,,,,,,,,,,,,,0,,,0,0,
12.0,PJ Dozier,26.0,SF,3,0,6,0.5,17.6,0.333,0.333,0.0,0.0,0.0,0.667,0.5,0.5,,,,0.5,0.0,1.0,0.0,0,0.0,,0,0,
13.0,Chimezie Metu,25.0,PF,3,0,6,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0,,,0,0,
,Team Totals,,,7,7,1680,0.429,13.8,0.584,0.148,0.272,0.099,0.066,0.416,0.517,0.687,0.44,0.545,0.409,0.306,0.416,0.824,0.046,30,0.252,0.286,2,0,
