Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,82.0,19830,3573,7232,0.494,1128,3060,0.369,2445,4172,0.586,1624,2055,0.79,782,2699,3481,2237,574,275,1106,1616,9898
Team/G,,241.8,43.6,88.2,0.494,13.8,37.3,0.369,29.8,50.9,0.586,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7.0,3.4,13.5,19.7,120.7
Lg Rank,,12,4,16,2.0,5,6,9.0,16,24,1.0,3,7,12.0,23,15,20,3,20,29,9,11,1
Year/Year,,0.1%,7.6%,0.1%,0.034,20.4%,12.4%,0.024,2.6%,-7.3%,0.056,10.8%,7.7%,0.022,-0.3%,-1.4%,-1.1%,15.1%,-2.4%,-25.5%,-4.3%,4.1%,9.4%
Opponent,82.0,19830,3589,7288,0.492,1022,2740,0.373,2567,4548,0.564,1481,1882,0.787,795,2665,3460,2187,598,341,1165,1711,9681
Opponent/G,,241.8,43.8,88.9,0.492,12.5,33.4,0.373,31.3,55.5,0.564,18.1,23.0,0.787,9.7,32.5,42.2,26.7,7.3,4.2,14.2,20.9,118.1
Lg Rank,,12,27,19,29.0,18,15,26.0,27,19,23.0,10,10,23.0,7,9,9,28,16,9,15,4,25
Year/Year,,0.1%,0.8%,-1.9%,0.013,-4.0%,-4.3%,0.001,2.8%,-0.4%,0.018,13.4%,11.9%,0.01,-8.2%,-7.8%,-7.9%,5.3%,-10.5%,-13.7%,5.3%,2.8%,2.0%
