unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Jaylen Wells,25:40,4,8,.500,2,4,.500,6,8,.750,0,5,5,3,2,0,0,2,16,16.0,+14,True,,MEM,POR,MEM,POR,True,False,2083a9deba0dc2bbdc4d02ff5f9c0777bbb51ddd,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Cedric Coward,24:39,5,12,.417,0,3,.000,1,3,.333,2,4,6,3,0,1,3,2,11,5.4,-7,True,,MEM,POR,MEM,POR,True,False,7eb9d754ecfc91b302a8fd91e9e0c99e5203c0bd,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Jaren Jackson Jr.,23:50,3,10,.300,0,1,.000,0,0,,0,3,3,4,3,2,1,2,6,6.5,-5,True,,MEM,POR,MEM,POR,True,False,d79776087741e7c9b9b55e0b5c60e40e58dda0a4,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Zach Edey,21:56,5,11,.455,0,2,.000,2,3,.667,5,5,10,3,0,0,6,6,12,4.6,+4,True,,MEM,POR,MEM,POR,True,False,05a1a879bd7f397e8b853cae9f1cff23a9da02ca,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Vince Williams Jr.,16:13,2,6,.333,1,4,.250,0,0,,0,2,2,0,0,1,3,3,5,-1.3,-10,True,,MEM,POR,MEM,POR,True,False,856c24dfa3e9cd89142151a776e6d1399b132ac8,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,MEM,POR,MEM,POR,True,False,1a5debbbf41993d5104739f0048cc74bb7464c76,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Cam Spencer,31:47,4,9,.444,1,5,.200,3,3,1.000,0,3,3,6,4,0,4,3,12,11.2,+33,True,,MEM,POR,MEM,POR,True,False,697e292c591281f17c8ff273181a9c25e6b38dd6,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Santi Aldama,28:08,7,11,.636,3,6,.500,5,7,.714,1,6,7,1,2,0,0,1,22,21.1,+34,True,,MEM,POR,MEM,POR,True,False,ef9a89cd43add1b4b37c77bf0689f42a7d10161e,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Kentavious Caldwell-Pope,23:21,5,8,.625,3,5,.600,3,3,1.000,0,2,2,5,2,0,2,0,16,16.5,+30,True,,MEM,POR,MEM,POR,True,False,1bcca7f2d5cb0c76f1039b8fb9eb3de078e517a8,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
Jock Landale,21:01,4,7,.571,0,3,.000,7,10,.700,5,3,8,2,2,0,3,4,15,13.7,+20,True,,MEM,POR,MEM,POR,True,False,713dcd952975ceadc6bec46b043ff2bbe6dfa867,202512070MEM,"Portland Trail Blazers at Memphis Grizzlies Box Score, December 7, 2025",2026-01-20T14:20:08.736480,box-MEM-game-basic
