Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Grayson Allen,26.0,SG,12,5,305,0.451,0.529,0.396,0.567,0.636,0.576,0.134,0.585,98,99,112.0,107,82.0,102,54,147,
2.0,Giannis Antetokounmpo,27.0,PF,12,12,448,0.491,0.537,0.22,0.507,0.679,0.552,0.47,0.144,107,101,62.0,95,88.0,98,189,36,
3.0,Thanasis Antetokounmpo,29.0,SF,8,0,20,0.667,0.667,,0.667,0.333,0.579,1.0,0.0,145,125,,125,43.0,102,403,0,
4.0,Jevon Carter,26.0,PG,11,0,126,0.474,0.5,0.429,0.553,1.0,0.578,0.105,0.368,103,94,121.0,104,129.0,102,42,92,
5.0,Pat Connaughton,29.0,SF,12,0,318,0.477,0.708,0.391,0.619,1.0,0.632,0.057,0.727,104,133,110.0,116,129.0,112,23,182,
6.0,George Hill,35.0,PG,5,0,76,0.2,0.0,0.5,0.3,1.0,0.425,0.4,0.4,43,0,141.0,56,129.0,75,161,100,
7.0,Jrue Holiday,31.0,PG,12,12,463,0.379,0.41,0.316,0.432,0.839,0.461,0.132,0.336,82,77,89.0,81,108.0,81,53,84,
8.0,Serge Ibaka,32.0,C,6,0,22,0.25,0.308,0.0,0.25,0.5,0.267,0.125,0.188,54,58,0.0,47,65.0,47,50,47,
9.0,Brook Lopez,33.0,C,12,12,332,0.49,0.595,0.214,0.52,0.913,0.566,0.225,0.275,106,112,61.0,98,118.0,100,91,69,
10.0,Wesley Matthews,35.0,SG,12,12,345,0.391,0.368,0.4,0.531,0.667,0.544,0.141,0.703,85,69,113.0,100,86.0,96,57,176,
11.0,Khris Middleton,30.0,SF,2,2,72,0.417,0.4,0.429,0.542,1.0,0.573,0.125,0.583,90,75,121.0,102,129.0,101,50,146,
12.0,Jordan Nwora,23.0,SF,8,0,20,0.222,0.4,0.0,0.222,0.0,0.202,0.222,0.444,48,75,0.0,42,0.0,36,90,111,
13.0,Bobby Portis,26.0,C,12,5,298,0.417,0.5,0.298,0.478,0.773,0.509,0.191,0.409,91,94,84.0,90,100.0,90,77,102,
14.0,Rayjon Tucker,24.0,SG,8,0,19,0.333,0.5,0.0,0.333,,0.333,0.0,0.333,72,94,0.0,63,,59,0,83,
15.0,Luca Vildoza,26.0,PG,7,0,17,0.333,1.0,0.2,0.417,,0.417,0.0,0.833,72,188,57.0,78,,74,0,209,
,Team Totals,,,12,12,2881,0.438,0.501,0.327,0.498,0.731,0.529,0.236,0.367,95,94,93.0,94,94.0,93,95,92,
