Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Justin Anderson,28.0,SF,13,6,269,0.368,0.559,0.245,0.443,0.8,0.475,0.172,0.609,80.0,105.0,69.0,83.0,103.0,84.0,69.0,153.0,-15.5,-17.0,
2.0,Goga Bitadze,22.0,C,50,16,729,0.52,0.628,0.288,0.565,0.681,0.595,0.373,0.317,113.0,118.0,81.0,106.0,88.0,105.0,150.0,80.0,17.0,16.9,
3.0,Oshae Brissett,23.0,SF,67,25,1564,0.411,0.465,0.35,0.493,0.695,0.53,0.324,0.468,89.0,87.0,99.0,93.0,90.0,94.0,131.0,117.0,-39.1,-41.5,
4.0,Malcolm Brogdon,29.0,PG,36,36,1206,0.448,0.518,0.312,0.501,0.856,0.557,0.308,0.343,97.0,97.0,88.0,94.0,111.0,98.0,124.0,86.0,-33.4,-10.9,
5.0,Ahmad Caver,25.0,SG,1,0,1,1.0,1.0,,1.0,,1.0,0.0,0.0,217.0,188.0,,188.0,,177.0,0.0,0.0,0.9,0.9,
6.0,Torrey Craig,31.0,SF,51,14,1034,0.456,0.573,0.333,0.537,0.771,0.555,0.125,0.491,99.0,108.0,94.0,101.0,100.0,98.0,50.0,123.0,3.2,-6.5,
7.0,Chris Duarte,24.0,SG,55,39,1541,0.432,0.475,0.369,0.507,0.804,0.537,0.18,0.411,94.0,89.0,104.0,95.0,104.0,95.0,73.0,103.0,-30.4,-38.8,
8.0,Tyrese Haliburton,21.0,PG,26,26,938,0.502,0.565,0.416,0.59,0.849,0.629,0.266,0.424,109.0,106.0,118.0,111.0,110.0,111.0,107.0,106.0,37.5,45.5,
9.0,Buddy Hield,29.0,SG,26,26,925,0.447,0.549,0.362,0.546,0.886,0.563,0.086,0.546,97.0,103.0,102.0,103.0,114.0,99.0,35.0,137.0,11.3,-2.9,
10.0,Nate Hinton,22.0,SG,2,0,2,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-1.1,-1.1,
11.0,Justin Holiday,32.0,SF,49,40,1416,0.415,0.516,0.378,0.553,0.829,0.568,0.09,0.734,90.0,97.0,107.0,104.0,107.0,100.0,36.0,184.0,20.0,2.1,
12.0,Isaiah Jackson,20.0,C,36,15,541,0.563,0.584,0.313,0.575,0.682,0.607,0.427,0.078,122.0,110.0,88.0,108.0,88.0,107.0,172.0,19.0,17.9,20.0,
13.0,DeJon Jarreau,24.0,SG,1,0,1,,,,,,,,,,,,,,,,,0.0,0.0,
14.0,Jeremy Lamb,29.0,SF,39,0,613,0.373,0.414,0.333,0.458,0.838,0.524,0.351,0.513,81.0,78.0,94.0,86.0,108.0,93.0,141.0,129.0,-33.5,-21.9,
15.0,Caris LeVert,27.0,SG,39,39,1214,0.447,0.501,0.323,0.496,0.76,0.53,0.235,0.304,97.0,94.0,91.0,93.0,98.0,94.0,95.0,76.0,-44.4,-48.8,
16.0,Kelan Martin,26.0,SF,27,1,444,0.417,0.511,0.297,0.482,0.692,0.492,0.077,0.44,90.0,96.0,84.0,91.0,89.0,87.0,31.0,110.0,-16.6,-25.6,
17.0,T.J. McConnell,29.0,PG,27,8,652,0.481,0.514,0.303,0.505,0.826,0.525,0.111,0.159,104.0,97.0,86.0,95.0,107.0,93.0,45.0,40.0,-11.2,-17.9,
18.0,Reggie Perry,21.0,PF,1,0,10,1.0,1.0,,1.0,,1.0,0.0,0.0,217.0,188.0,,188.0,,177.0,0.0,0.0,0.9,0.9,
19.0,Domantas Sabonis,25.0,PF,47,46,1632,0.58,0.639,0.324,0.61,0.74,0.649,0.452,0.189,126.0,120.0,92.0,115.0,96.0,115.0,182.0,47.0,89.8,113.1,
20.0,Jalen Smith,21.0,PF,22,4,543,0.531,0.631,0.373,0.603,0.76,0.628,0.235,0.39,115.0,118.0,106.0,113.0,98.0,111.0,95.0,98.0,30.5,29.0,
21.0,Lance Stephenson,31.0,PG,40,1,744,0.458,0.516,0.31,0.502,0.795,0.542,0.252,0.281,99.0,97.0,88.0,94.0,103.0,96.0,101.0,70.0,-18.6,-16.8,
22.0,Keifer Sykes,28.0,PG,32,11,566,0.363,0.42,0.3,0.434,0.882,0.456,0.089,0.474,79.0,79.0,85.0,82.0,114.0,81.0,36.0,119.0,-37.0,-43.5,
23.0,Terry Taylor,22.0,PF,33,7,714,0.614,0.676,0.316,0.641,0.706,0.656,0.232,0.173,133.0,127.0,89.0,121.0,91.0,116.0,93.0,43.0,48.1,43.6,
24.0,Tristan Thompson,30.0,C,4,0,66,0.542,0.542,,0.542,0.375,0.527,0.333,0.0,117.0,102.0,,102.0,48.0,93.0,134.0,0.0,0.5,-2.2,
25.0,Myles Turner,25.0,C,42,42,1235,0.509,0.662,0.333,0.587,0.752,0.615,0.267,0.466,110.0,124.0,94.0,110.0,97.0,109.0,108.0,117.0,43.1,42.8,
26.0,Brad Wanamaker,32.0,PG,22,1,293,0.361,0.4,0.235,0.389,0.909,0.465,0.306,0.236,78.0,75.0,67.0,73.0,117.0,82.0,123.0,59.0,-20.6,-16.5,
27.0,Duane Washington Jr.,21.0,PG,48,7,968,0.405,0.434,0.377,0.5,0.754,0.521,0.143,0.504,88.0,81.0,107.0,94.0,97.0,92.0,58.0,126.0,-27.1,-40.7,
28.0,Gabe York,28.0,SG,2,0,21,0.286,1.0,0.167,0.357,0.6,0.435,0.714,0.857,62.0,188.0,47.0,67.0,77.0,77.0,288.0,215.0,-2.4,-2.4,
,Team Totals,,,82,82,19882,0.463,0.541,0.344,0.531,0.768,0.564,0.239,0.395,100.0,102.0,97.0,100.0,99.0,100.0,96.0,99.0,-10.2,-40.2,
