Rk,Unnamed: 1,Salary
1,Rudy Gobert,"$38,172,414"
2,Karl-Anthony Towns,"$33,833,400"
3,Mike Conley,"$22,680,000"
4,Anthony Edwards,"$10,733,400"
5,Kyle Anderson,"$8,780,488"
6,Taurean Prince,"$7,295,000"
7,Nickeil Alexander-Walker,"$5,009,633"
8,Wendell Moore,"$2,306,520"
9,Jaden McDaniels,"$2,161,440"
10,Jordan McLaughlin,"$2,160,000"
11,Naz Reid,"$1,930,681"
12,Jaylen Nowell,"$1,930,681"
13,Bryn Forbes,"$1,836,090"
14,Austin Rivers,"$1,836,090"
15,Nathan Knight,"$1,836,090"
16,Josh Minott,"$1,017,781"
17,A.J. Lawson,
18,Eric Paschall,
19,Luka Garza,
20,A.J. Lawson,
21,Matt Ryan,
