Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Anthony Edwards,21.0,SG,5,5,199,0,31,66,2,0,-3.2,30.3,4,3,5,1,18,0,66,1,3,
2.0,Mike Conley,35.0,PG,5,5,183,100,0,0,0,0,-4.4,19.0,7,0,6,0,2,6,76,0,2,
3.0,Karl-Anthony Towns,27.0,PF,5,5,180,0,0,0,66,34,-11.3,-7.7,8,5,10,4,15,1,24,8,4,
4.0,Rudy Gobert,30.0,C,5,5,177,0,0,0,0,100,-5.2,13.7,2,0,9,3,13,2,24,1,3,
5.0,Nickeil Alexander-Walker,24.0,SG,5,4,148,5,82,13,0,0,1.0,25.4,2,0,0,0,1,5,15,1,0,
6.0,Kyle Anderson,29.0,PF,4,0,104,0,0,21,79,0,-13.5,-7.7,2,1,5,1,1,0,42,0,2,
7.0,Taurean Prince,28.0,PF,5,1,100,0,1,65,34,0,-17.9,-15.1,2,2,4,0,4,0,10,1,2,
8.0,Jaylen Nowell,23.0,SG,5,0,62,35,53,13,0,0,-27.0,-23.8,1,1,4,0,1,0,7,0,0,
9.0,Austin Rivers,30.0,SG,4,0,46,40,60,0,0,0,-24.5,-18.9,0,0,0,0,0,1,3,0,0,
10.0,Jordan McLaughlin,26.0,PG,2,0,14,100,0,0,0,0,-37.9,-30.6,0,0,1,0,0,0,5,0,1,
11.0,Josh Minott,20.0,SF,1,0,6,0,0,0,67,33,-30.8,-22.2,0,1,0,0,0,0,0,0,0,
12.0,Nathan Knight,25.0,C,2,0,5,0,0,0,0,100,-33.3,-24.6,0,1,0,0,0,0,0,0,0,
13.0,Wendell Moore Jr.,21.0,SG,1,0,2,0,0,0,100,0,10.0,19.2,0,1,0,0,0,0,0,0,0,
,Team Totals,,,5,5,1226,20,20,20,20,20,-9.1,7.3,28,15,44,9,55,15,272,12,17,
