Rk,Unnamed: 1,Salary
1,Damian Lillard,"$42,492,492"
2,Anfernee Simons,"$22,321,429"
3,Jerami Grant,"$20,955,000"
4,Jusuf Nurkić,"$15,625,000"
5,Shaedon Sharpe,"$6,012,960"
6,Cam Reddish,"$5,954,454"
7,Matisse Thybulle,"$4,379,527"
8,Nassir Little,"$4,171,548"
9,Justise Winslow,"$4,097,561"
10,Kevin Knox,"$3,000,000"
11,Andrew Nicholson,"$2,844,430"
12,Keon Johnson,"$2,681,040"
13,Ryan Arcidiacono,"$1,836,090"
14,Drew Eubanks,"$1,836,090"
15,Greg Brown,"$1,563,518"
16,Trendon Watford,"$1,563,518"
17,Eric Bledsoe,"$1,300,000"
18,Jabari Walker,"$1,017,781"
19,Marcos Louzada Silva,"$268,032"
20,Shaquille Harrison,"$105,522"
21,Skylar Mays,"$105,522"
22,Jeenathan Williams,"$52,644"
23,Justin Minaya,"$35,096"
24,Skylar Mays,"$10,552"
25,Chance Comanche,"$5,849"
26,Olivier Sarr,
27,John Butler,
28,Ibou Badji,
