Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Jerami Grant,28,63,63,2246,9.4,19.8,0.475,3.1,7.8,0.401,6.3,12.0,0.523,0.554,6.0,7.4,0.813,1.1,5.0,6.1,3.3,1.1,1.1,2.5,3.3,28.0,117,120,
2,Anfernee Simons,23,62,62,2171,10.5,23.4,0.447,4.8,12.6,0.377,5.7,10.8,0.528,0.548,3.6,4.0,0.894,0.4,3.2,3.6,5.7,0.9,0.3,2.9,3.2,29.3,113,123,
3,Damian Lillard,32,58,58,2107,12.9,27.8,0.463,5.6,15.2,0.371,7.2,12.6,0.574,0.564,11.8,12.9,0.914,1.0,5.4,6.4,9.8,1.2,0.4,4.4,2.5,43.1,126,121,"CPOY-10,AS,NBA3"
4,Shaedon Sharpe,19,80,15,1779,8.4,17.7,0.472,2.8,7.7,0.36,5.6,10.0,0.559,0.551,2.1,2.9,0.714,1.7,4.7,6.5,2.6,1.0,0.7,2.3,3.7,21.6,109,121,
5,Josh Hart,27,51,51,1704,5.2,10.4,0.504,1.0,3.2,0.304,4.3,7.2,0.594,0.551,2.5,3.4,0.731,2.7,9.2,11.9,5.7,1.5,0.3,2.3,3.8,13.9,121,118,
6,Drew Eubanks,25,78,28,1584,6.6,10.3,0.641,0.2,0.6,0.389,6.4,9.7,0.655,0.651,2.6,3.8,0.664,4.1,8.8,12.9,3.2,1.2,3.1,2.1,5.2,15.9,130,115,
7,Jusuf Nurkić,28,52,52,1391,9.2,17.7,0.519,1.5,4.2,0.361,7.7,13.5,0.567,0.561,4.4,6.7,0.661,4.0,12.5,16.5,5.2,1.5,1.5,4.2,6.5,24.3,112,114,
8,Trendon Watford,22,62,12,1182,7.5,13.3,0.56,1.0,2.6,0.391,6.4,10.7,0.602,0.599,3.0,4.1,0.72,1.7,8.1,9.8,5.4,1.3,0.5,2.9,4.9,18.9,118,119,
9,Nassir Little,22,54,4,976,6.7,15.1,0.442,2.9,7.9,0.367,3.8,7.2,0.524,0.538,1.6,2.3,0.717,1.3,5.7,7.0,2.5,1.0,1.0,1.8,3.3,17.9,108,120,
10,Justise Winslow,26,29,11,776,5.1,12.4,0.409,0.9,2.8,0.311,4.2,9.6,0.438,0.444,1.3,1.8,0.714,3.1,6.0,9.1,6.2,1.9,0.7,2.7,5.6,12.3,104,118,
