Rk,Unnamed: 1,Salary
1,Kevin Love,"$31,258,256"
2,Andre Drummond,"$27,957,238"
3,Taurean Prince,"$12,250,000"
4,Larry Nance,"$11,709,091"
5,Cedi Osman,"$8,840,580"
6,Darius Garland,"$6,720,720"
7,Isaac Okoro,"$6,400,920"
8,Collin Sexton,"$4,991,880"
9,Jarrett Allen,"$3,909,902"
10,Dylan Windler,"$2,137,440"
11,Damyean Dotson,"$2,000,000"
12,Matthew Dellavedova,"$1,620,564"
13,Isaiah Hartenstein,"$1,620,564"
14,Dean Wade,"$1,517,981"
15,J.R. Smith,"$1,456,667"
16,Lamar Stevens,"$652,366"
17,Mfiondu Kabengele,"$356,473"
18,Rayjon Tucker,"$340,000"
19,Thon Maker,"$309,355"
20,Quinn Cook,"$221,996"
21,Anderson Varejão,"$144,297"
22,Yogi Ferrell,"$110,998"
23,Jeremiah Martin,$0
24,Brodric Thomas,$0
25,Marques Bolden,$0
