game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,TOTAL
2024-01-24,202401240HOU,POR,https://www.basketball-reference.com/boxscores/202401240HOU.html,30,27,41,26,13,137
2024-01-24,202401240HOU,HOU,https://www.basketball-reference.com/boxscores/202401240HOU.html,31,32,33,28,7,131
