player,elo
Nikola Jokić,1979.3369448089393
Giannis Antetokounmpo,1816.586544400228
Jayson Tatum,1765.6526449946687
Luka Dončić,1763.2224931069773
Stephen Curry,1705.349880848645
Jimmy Butler,1698.3482362964082
Donovan Mitchell,1685.888711331833
Derrick White,1665.6554949982271
Tyrese Haliburton,1657.4658770069361
Jalen Brunson,1652.729301047392
Al Horford,1638.475969124482
Jrue Holiday,1636.8858104268859
Jarrett Allen,1627.2554452058587
Damian Lillard,1627.0394851000945
Jamal Murray,1622.8058364672536
Kyrie Irving,1620.7179391300901
Kristaps Porziņģis,1609.867649861399
Bam Adebayo,1606.55502299212
Jaylen Brown,1600.1859396404184
Paul George,1597.4451508748214
Evan Mobley,1594.171206297233
Isaiah Hartenstein,1593.4738453951263
Trae Young,1592.0431825163434
Alex Caruso,1587.054928405611
Luke Kornet,1584.071324158
Zion Williamson,1584.0554011429304
Payton Pritchard,1583.1974651551375
Brook Lopez,1577.261391495439
Sam Hauser,1575.7798619005737
Khris Middleton,1574.408767933842
Draymond Green,1571.1613246654022
Darius Garland,1571.0200498525242
Julius Randle,1571.009368452953
Tobias Harris,1570.7259986971426
DeMar DeRozan,1569.7757505513835
Alperen Şengün,1569.500755238551
Michael Porter Jr.,1567.5405096456393
Victor Wembanyama,1564.114072271213
Chet Holmgren,1563.0614446512986
Robert Williams,1560.6400270216009
Josh Hart,1559.7383570579443
Nikola Vučević,1559.2423953188666
Steven Adams,1554.296314149345
Amen Thompson,1550.10650787288
Mikal Bridges,1548.8984044698448
Tyler Herro,1548.5727430160598
Immanuel Quickley,1546.0425544145971
Zach LaVine,1545.5941113996932
Donte DiVincenzo,1545.2864787900241
Kevin Love,1544.138287060413
Brandon Clarke,1543.0004712634554
Bogdan Bogdanović,1542.1994432615177
Lauri Markkanen,1541.9875697769685
Joe Ingles,1541.6029212883407
Cameron Johnson,1541.3277731724525
Myles Turner,1539.753021849855
Kevon Looney,1539.222104716855
Dereck Lively II,1538.752692284727
Onyeka Okongwu,1538.063014246448
Grayson Allen,1537.415554798056
LaMelo Ball,1533.9238274622803
Ty Jerome,1533.7585448229354
Caris LeVert,1532.5679390448802
Kyle Lowry,1532.0589898467783
Montrezl Harrell,1531.5459051004682
Max Strus,1531.3357577078189
Cade Cunningham,1531.2145074767113
Jordan McLaughlin,1530.2782236242965
Naz Reid,1529.845744322431
Obi Toppin,1529.5093194997755
Jonathan Isaac,1528.3618109567267
Sam Merrill,1528.1868240633848
Jock Landale,1527.9100377365892
Kentavious Caldwell-Pope,1527.8420833211044
Kenrich Williams,1527.8167807606858
Mitchell Robinson,1526.8644316486132
Malcolm Brogdon,1525.2332573466178
Brandon Ingram,1525.1920938478456
Dejounte Murray,1525.0920339689624
Larry Nance Jr.,1524.5946629268612
Moritz Wagner,1524.4910680733817
Bobby Portis,1524.1637696396608
Brandin Podziemski,1524.07246784382
Gary Payton II,1524.0127389394816
Jusuf Nurkić,1523.7062154509981
Dean Wade,1523.2923794300661
Ben Simmons,1523.0425527984219
Dyson Daniels,1522.3114981424233
Day'Ron Sharpe,1522.0529022620522
Lonzo Ball,1521.1327544159228
Miles McBride,1520.8141194336774
Clint Capela,1520.6835063745857
Dwight Powell,1520.6022102721263
Mike Muscala,1520.3967201582786
Danny Green,1519.7745801236956
CJ McCollum,1519.763747518688
Trey Murphy III,1519.477612123803
Marcus Smart,1518.5492148831963
Keon Ellis,1518.4165513444932
Dorian Finney-Smith,1518.2373778538988
Otto Porter Jr.,1518.1056183666929
Cason Wallace,1517.834475458296
Kris Dunn,1517.809263808274
Jonas Valančiūnas,1517.1319702816004
Tari Eason,1517.1122469700126
Jay Huff,1516.7951731880119
Seth Curry,1515.4390801202373
Thaddeus Young,1515.0457527660815
Neemias Queta,1514.6022091746786
Hassan Whiteside,1514.2157987133355
JaVale McGee,1512.5673329192628
Enes Freedom,1512.0760967094075
John Konchar,1512.000355119432
Jalen Johnson,1511.886658716138
Kemba Walker,1511.840755186599
George Hill,1511.8262232819156
Ryan Rollins,1511.56007084991
Terence Davis,1510.9246005757786
Frank Kaminsky,1510.6172522661773
Mouhamed Gueye,1510.5175378431927
Royce O'Neale,1510.4066317540362
Marc Gasol,1509.9746608624896
Walker Kessler,1509.8534909057048
Craig Porter Jr.,1509.766384270842
Derrick Jones Jr.,1509.6492099411216
Jevon Carter,1509.4460496139088
Jeff Dowtin Jr.,1509.3576520325091
Serge Ibaka,1509.3180456462433
A.J. Green,1509.3005116637794
Jaylen Clark,1508.9651966269048
Jaylon Tyson,1508.924676759378
Josh Minott,1508.7126026315314
Jose Alvarado,1508.3428225904534
Gui Santos,1508.0409156395815
Bradley Beal,1507.8079600139454
Nickeil Alexander-Walker,1507.8078568126843
Trayce Jackson-Davis,1507.7864205090211
Tony Bradley,1507.65444721897
Nemanja Bjelica,1507.6054666343298
Blake Griffin,1507.4434569218718
Joe Harris,1507.3343783425082
Christian Wood,1507.2901634569805
John Collins,1507.2652111449177
Collin Gillespie,1507.202463342069
Danilo Gallinari,1506.534851944707
Boban Marjanović,1506.436844163095
Nikola Jović,1506.04023379015
Alex Reese,1506.0220965809992
Sandro Mamukelashvili,1505.7294651877314
Lou Williams,1505.3323341768146
Trevelin Queen,1505.2554568940773
Dāvis Bertāns,1505.1742112324955
Tre Jones,1505.098250311201
Devin Carter,1505.0930749202919
Matt Thomas,1505.0325551163983
Brandon Williams,1504.6701963955127
Ish Wainright,1504.405307850549
Donovan Clingan,1504.3142688919902
RayJ Dennis,1504.2504677574348
Bol Bol,1503.8408806496395
Sidy Cissoko,1503.719247132921
Dru Smith,1503.7098986002825
Cam Spencer,1503.6603933280032
Herbert Jones,1503.6296605716927
LaMarcus Aldridge,1503.5382319599223
Jae Crowder,1503.4776126496135
Ousmane Dieng,1503.37260641486
Furkan Korkmaz,1503.324049765858
Willy Hernangómez,1503.313071826427
Terrence Shannon Jr.,1503.1988230432432
Christian Koloko,1503.1641508820358
Oscar Tshiebwe,1503.1161236963624
Thomas Bryant,1503.115756358939
Kyle Korver,1503.034648417779
Kenneth Lofton Jr.,1503.014930384397
John Henson,1502.9424058467591
Darius Miller,1502.8203305529637
Yuki Kawamura,1502.7328211653112
Derrick Rose,1502.6848816861127
Moses Moody,1502.6818849024003
Luka Garza,1502.5466580794848
Elijah Harkless,1502.4993978385246
Cam Whitmore,1502.491587994118
Paul Millsap,1502.4677580556177
Aaron Holiday,1502.4562355754817
Derrick Favors,1502.3923749428945
Kevin McCullar Jr.,1502.377199591649
Patrick Patterson,1502.306823174827
Jaxson Hayes,1502.2458394579137
Baylor Scheierman,1502.2412998051238
Branden Carlson,1502.1634489502212
Nathan Knight,1502.1447614979966
RaiQuan Gray,1502.1019695804077
Daeqwon Plowden,1502.0748139422956
Dylan Windler,1502.0381025185343
Jabari Parker,1502.0278677848069
Sasha Vezenkov,1502.001147943801
Javonte Green,1501.9907198140404
Rondae Hollis-Jefferson,1501.8304033523202
Chimezie Metu,1501.7865567255658
Mo Bamba,1501.7580784753638
Nate Hinton,1501.6312460594672
Nerlens Noel,1501.5869396929393
Patrick Beverley,1501.575037643866
Carlik Jones,1501.5719362948164
