game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score
2023-03-31,202303310WAS,ORL,Paolo Banchero,https://www.basketball-reference.com/boxscores/202303310WAS.html,33.75,8,17,.471,1,3,.333,13,14,.929,2,10,12,6,0,3,2,3,30,28.4
2023-03-31,202303310WAS,ORL,Markelle Fultz,https://www.basketball-reference.com/boxscores/202303310WAS.html,33.13,11,15,.733,2,2,1.000,1,2,.500,1,5,6,4,0,2,2,2,25,22.1
2023-03-31,202303310WAS,ORL,Franz Wagner,https://www.basketball-reference.com/boxscores/202303310WAS.html,32.63,8,14,.571,2,3,.667,2,2,1.000,2,3,5,1,0,1,2,2,20,14.3
2023-03-31,202303310WAS,ORL,Wendell Carter Jr.,https://www.basketball-reference.com/boxscores/202303310WAS.html,26.33,5,11,.455,1,5,.200,0,2,.000,0,7,7,3,0,1,1,3,11,7.2
2023-03-31,202303310WAS,ORL,Gary Harris,https://www.basketball-reference.com/boxscores/202303310WAS.html,20.22,0,6,.000,0,3,.000,0,0,,0,2,2,1,0,2,0,0,0,-1.5
2023-03-31,202303310WAS,ORL,Cole Anthony,https://www.basketball-reference.com/boxscores/202303310WAS.html,27.98,7,11,.636,2,3,.667,0,0,,0,7,7,4,0,2,1,2,16,15.6
2023-03-31,202303310WAS,ORL,Jalen Suggs,https://www.basketball-reference.com/boxscores/202303310WAS.html,23.47,2,6,.333,0,2,.000,4,6,.667,0,3,3,2,1,1,1,0,8,6.8
2023-03-31,202303310WAS,ORL,Goga Bitadze,https://www.basketball-reference.com/boxscores/202303310WAS.html,21.67,1,4,.250,0,1,.000,0,0,,1,2,3,3,1,2,1,3,2,3.2
2023-03-31,202303310WAS,ORL,Caleb Houstan,https://www.basketball-reference.com/boxscores/202303310WAS.html,14.25,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,0,0,0.3
2023-03-31,202303310WAS,ORL,Moritz Wagner,https://www.basketball-reference.com/boxscores/202303310WAS.html,6.57,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,4,3.6
2023-03-31,202303310WAS,WAS,Corey Kispert,https://www.basketball-reference.com/boxscores/202303310WAS.html,41.87,9,14,.643,9,14,.643,0,0,,0,3,3,0,0,0,0,3,27,20.5
2023-03-31,202303310WAS,WAS,Daniel Gafford,https://www.basketball-reference.com/boxscores/202303310WAS.html,32.93,8,14,.571,0,0,,2,3,.667,7,6,13,1,1,2,3,5,18,15.8
2023-03-31,202303310WAS,WAS,Delon Wright,https://www.basketball-reference.com/boxscores/202303310WAS.html,32.08,8,15,.533,2,6,.333,3,3,1.000,3,6,9,4,1,0,0,2,21,20.6
2023-03-31,202303310WAS,WAS,Deni Avdija,https://www.basketball-reference.com/boxscores/202303310WAS.html,31.8,2,14,.143,0,6,.000,2,3,.667,0,6,6,4,0,0,1,4,6,-1.4
2023-03-31,202303310WAS,WAS,Monte Morris,https://www.basketball-reference.com/boxscores/202303310WAS.html,13.4,1,5,.200,1,3,.333,1,1,1.000,1,2,3,5,1,0,0,0,4,6.7
2023-03-31,202303310WAS,WAS,Johnny Davis,https://www.basketball-reference.com/boxscores/202303310WAS.html,28.35,4,15,.267,2,10,.200,0,0,,0,3,3,1,0,2,2,3,10,0.9
2023-03-31,202303310WAS,WAS,Jordan Goodwin,https://www.basketball-reference.com/boxscores/202303310WAS.html,17.73,2,9,.222,1,5,.200,2,2,1.000,2,3,5,5,1,0,2,1,7,5.9
2023-03-31,202303310WAS,WAS,Kendrick Nunn,https://www.basketball-reference.com/boxscores/202303310WAS.html,13.9,5,10,.500,2,5,.400,0,0,,0,3,3,2,1,1,2,4,12,7.4
2023-03-31,202303310WAS,WAS,Anthony Gill,https://www.basketball-reference.com/boxscores/202303310WAS.html,12.87,1,5,.200,0,1,.000,0,0,,1,2,3,2,0,0,1,1,2,0.2
2023-03-31,202303310WAS,WAS,Taj Gibson,https://www.basketball-reference.com/boxscores/202303310WAS.html,10.02,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.8
2023-03-31,202303310WAS,WAS,Xavier Cooks,https://www.basketball-reference.com/boxscores/202303310WAS.html,5.05,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,1,2,1.3
