game_date,game_id,team,url,Q1,Q2,Q3,Q4,TOTAL
2024-04-09,202404090MIN,WAS,https://www.basketball-reference.com/boxscores/202404090MIN.html,44,26,24,27,121
2024-04-09,202404090MIN,MIN,https://www.basketball-reference.com/boxscores/202404090MIN.html,26,34,39,31,130
