game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,TOTAL
2021-04-03,202104030SAS,IND,https://www.basketball-reference.com/boxscores/202104030SAS.html,32,35,31,28,13,139
2021-04-03,202104030SAS,SAS,https://www.basketball-reference.com/boxscores/202104030SAS.html,33,26,38,29,7,133
