game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,ft_pct,fg3_pct
2021-01-20,202101200LAC,SAC,Q1,Richaun Holmes,https://www.basketball-reference.com/boxscores/202101200LAC.html,7.63,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,2.7,+1,,,
2021-01-20,202101200LAC,SAC,Q1,De'Aaron Fox,https://www.basketball-reference.com/boxscores/202101200LAC.html,9.02,1,3,0,0,1,2,0,2,2,4,0,0,1,0,3,3.3,-1,.333,.500,
2021-01-20,202101200LAC,SAC,Q1,Harrison Barnes,https://www.basketball-reference.com/boxscores/202101200LAC.html,7.63,1,2,0,1,0,0,0,1,1,1,0,0,0,0,2,2.0,+1,.500,,.000
2021-01-20,202101200LAC,SAC,Q1,Marvin Bagley III,https://www.basketball-reference.com/boxscores/202101200LAC.html,7.63,3,4,0,0,0,0,0,3,3,0,0,0,0,1,6,4.9,+1,.750,,
2021-01-20,202101200LAC,SAC,Q1,Buddy Hield,https://www.basketball-reference.com/boxscores/202101200LAC.html,7.63,3,4,2,2,0,0,0,1,1,0,1,1,1,0,8,7.4,+1,.750,,1.000
2021-01-20,202101200LAC,SAC,Q1,Tyrese Haliburton,https://www.basketball-reference.com/boxscores/202101200LAC.html,4.37,1,3,1,2,0,0,0,1,1,0,1,0,0,0,3,2.6,+3,.333,,.500
2021-01-20,202101200LAC,SAC,Q1,Glenn Robinson III,https://www.basketball-reference.com/boxscores/202101200LAC.html,4.37,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,-0.1,+3,.000,.500,.000
2021-01-20,202101200LAC,SAC,Q1,Cory Joseph,https://www.basketball-reference.com/boxscores/202101200LAC.html,4.37,2,2,0,0,0,0,0,0,0,1,0,0,0,0,4,4.1,+3,1.000,,
2021-01-20,202101200LAC,SAC,Q1,Chimezie Metu,https://www.basketball-reference.com/boxscores/202101200LAC.html,4.37,1,3,0,0,0,0,1,1,2,0,0,1,0,0,2,2.0,+3,.333,,
2021-01-20,202101200LAC,SAC,Q1,Justin James,https://www.basketball-reference.com/boxscores/202101200LAC.html,2.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,+5,.000,,
2021-01-20,202101200LAC,SAC,Q2,Richaun Holmes,https://www.basketball-reference.com/boxscores/202101200LAC.html,10.07,1,2,0,0,0,0,0,1,1,1,0,0,0,0,2,2.0,-5,.500,,
2021-01-20,202101200LAC,SAC,Q2,De'Aaron Fox,https://www.basketball-reference.com/boxscores/202101200LAC.html,8.43,6,8,1,2,1,3,0,0,0,0,1,0,2,2,14,8.2,-7,.750,.333,.500
2021-01-20,202101200LAC,SAC,Q2,Harrison Barnes,https://www.basketball-reference.com/boxscores/202101200LAC.html,8.17,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,-0.4,-5,.000,,.000
