game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct,ft_pct
2025-01-06,202501060MEM,DAL,Dereck Lively II,https://www.basketball-reference.com/boxscores/202501060MEM.html,32.85,7,11,.636,0,0,0,0,5,7,12,1,0,3,0,3,14,16.3,-17,,
2025-01-06,202501060MEM,DAL,Naji Marshall,https://www.basketball-reference.com/boxscores/202501060MEM.html,32.73,5,15,.333,2,6,4,5,1,5,6,3,2,0,2,2,16,10.6,-8,.333,.800
2025-01-06,202501060MEM,DAL,P.J. Washington,https://www.basketball-reference.com/boxscores/202501060MEM.html,31.78,7,22,.318,2,8,1,1,2,8,10,5,3,0,2,5,17,10.7,-18,.250,1.000
2025-01-06,202501060MEM,DAL,Klay Thompson,https://www.basketball-reference.com/boxscores/202501060MEM.html,26.6,5,16,.313,3,8,2,2,1,3,4,3,0,2,1,0,15,9.9,-18,.375,1.000
2025-01-06,202501060MEM,DAL,Maxi Kleber,https://www.basketball-reference.com/boxscores/202501060MEM.html,22.53,2,3,.667,0,1,0,0,0,2,2,1,0,1,1,3,4,2.5,+3,.000,
2025-01-06,202501060MEM,DAL,Spencer Dinwiddie,https://www.basketball-reference.com/boxscores/202501060MEM.html,29.57,2,3,.667,2,2,0,0,0,1,1,3,0,0,2,4,6,3.5,-9,1.000,
2025-01-06,202501060MEM,DAL,Quentin Grimes,https://www.basketball-reference.com/boxscores/202501060MEM.html,26.02,4,13,.308,1,6,0,0,0,6,6,6,1,0,2,1,9,6.1,-10,.167,
2025-01-06,202501060MEM,DAL,Jaden Hardy,https://www.basketball-reference.com/boxscores/202501060MEM.html,21.17,5,10,.500,3,5,2,2,0,3,3,2,1,1,4,2,15,9.2,+2,.600,1.000
2025-01-06,202501060MEM,DAL,Daniel Gafford,https://www.basketball-reference.com/boxscores/202501060MEM.html,7.83,2,3,.667,0,0,1,3,0,1,1,0,0,1,0,2,5,3.1,+6,,.333
2025-01-06,202501060MEM,DAL,Dwight Powell,https://www.basketball-reference.com/boxscores/202501060MEM.html,6.4,1,2,.500,0,0,0,0,4,1,5,1,0,0,1,0,2,3.8,-2,,
2025-01-06,202501060MEM,DAL,Brandon Williams,https://www.basketball-reference.com/boxscores/202501060MEM.html,1.25,0,0,,0,0,1,2,0,0,0,0,0,0,0,0,1,0.6,-2,,.500
2025-01-06,202501060MEM,DAL,Olivier-Maxence Prosper,https://www.basketball-reference.com/boxscores/202501060MEM.html,1.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2,,
2025-01-06,202501060MEM,MEM,Jaylen Wells,https://www.basketball-reference.com/boxscores/202501060MEM.html,34.92,3,11,.273,1,5,10,11,2,9,11,1,0,0,0,1,17,14.5,+18,.200,.909
2025-01-06,202501060MEM,MEM,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202501060MEM.html,34.18,13,23,.565,1,2,8,12,5,8,13,5,3,1,2,2,35,32.8,+9,.500,.667
2025-01-06,202501060MEM,MEM,Scotty Pippen Jr.,https://www.basketball-reference.com/boxscores/202501060MEM.html,28.22,6,13,.462,3,7,3,4,1,4,5,4,5,1,1,2,18,19.5,+9,.429,.750
2025-01-06,202501060MEM,MEM,John Konchar,https://www.basketball-reference.com/boxscores/202501060MEM.html,22.5,2,6,.333,0,3,1,1,3,10,13,2,0,0,0,1,5,7.7,0,.000,1.000
2025-01-06,202501060MEM,MEM,Zach Edey,https://www.basketball-reference.com/boxscores/202501060MEM.html,13.25,2,4,.500,0,1,0,0,2,1,3,0,0,2,3,1,4,1.7,-5,.000,
2025-01-06,202501060MEM,MEM,Jay Huff,https://www.basketball-reference.com/boxscores/202501060MEM.html,27.63,4,7,.571,3,6,0,0,0,1,1,1,2,0,2,1,11,8.3,+18,.500,
2025-01-06,202501060MEM,MEM,Jake LaRavia,https://www.basketball-reference.com/boxscores/202501060MEM.html,27.47,1,4,.250,0,2,5,6,0,2,2,4,0,0,2,1,7,5.2,+13,.000,.833
2025-01-06,202501060MEM,MEM,Luke Kennard,https://www.basketball-reference.com/boxscores/202501060MEM.html,24.4,5,9,.556,3,5,0,0,0,4,4,4,0,0,2,1,13,10.3,+10,.600,
2025-01-06,202501060MEM,MEM,Brandon Clarke,https://www.basketball-reference.com/boxscores/202501060MEM.html,14.88,3,7,.429,0,0,0,1,0,2,2,1,1,1,1,4,6,2.3,+4,,.000
2025-01-06,202501060MEM,MEM,Cam Spencer,https://www.basketball-reference.com/boxscores/202501060MEM.html,10.22,1,3,.333,1,3,0,0,0,0,0,1,0,0,0,1,3,1.6,-2,.333,
2025-01-06,202501060MEM,MEM,Yuki Kawamura,https://www.basketball-reference.com/boxscores/202501060MEM.html,2.3,0,1,.000,0,1,0,0,0,1,1,1,0,0,0,2,0,-0.5,+1,.000,
