game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,TOTAL
2022-11-25,202211250OKC,CHI,https://www.basketball-reference.com/boxscores/202211250OKC.html,30,29,21,30,9,119
2022-11-25,202211250OKC,OKC,https://www.basketball-reference.com/boxscores/202211250OKC.html,32,27,28,23,13,123
