team,elo
OKC,2098.414719932493
IND,1916.6303076557276
MIN,1874.5556380514117
DEN,1820.3803554513927
NYK,1813.0381557381972
CLE,1808.8053425192695
LAC,1799.275091948274
BOS,1705.9036482946544
GSW,1684.8383146711978
HOU,1678.994505575101
ORL,1654.3573902123999
MIL,1642.4678694452512
POR,1612.6761563679622
CHI,1600.636803360949
LAL,1600.0411493551683
MIA,1532.4234815684279
ATL,1497.915669976977
MEM,1497.1588075503644
SAS,1478.2491549314227
DET,1467.1546785801397
DAL,1452.2797290081176
SAC,1443.969981865395
PHO,1400.6503202100184
TOR,1316.1953114262983
UTA,1191.6363413212428
NOP,1167.617716129884
BRK,1130.9298874807957
PHI,1112.106504741036
CHO,1062.3711772804386
WAS,993.3257893499926
