game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,fg3_pct,ft_pct
2024-10-28,202410280NYK,CLE,Q1,Evan Mobley,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.7,0,0,0,0,0,0,0,3,3,0,0,1,0,1,0,1.2,+5,,,
2024-10-28,202410280NYK,CLE,Q1,Donovan Mitchell,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.7,3,6,1,3,0,0,0,1,1,1,0,0,2,1,7,2.6,+5,.500,.333,
2024-10-28,202410280NYK,CLE,Q1,Darius Garland,https://www.basketball-reference.com/boxscores/202410280NYK.html,8.68,3,6,1,2,0,0,0,1,1,0,0,0,0,1,7,3.9,+4,.500,.500,
2024-10-28,202410280NYK,CLE,Q1,Jarrett Allen,https://www.basketball-reference.com/boxscores/202410280NYK.html,8.68,1,2,0,0,3,4,3,2,5,1,0,0,0,0,5,7.0,+4,.500,,.750
2024-10-28,202410280NYK,CLE,Q1,Dean Wade,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.65,0,2,0,2,0,0,1,0,1,2,0,0,0,0,0,0.7,+2,.000,.000,
2024-10-28,202410280NYK,CLE,Q1,Caris LeVert,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.62,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,-0.4,-1,.000,.000,
2024-10-28,202410280NYK,CLE,Q1,Sam Merrill,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.37,1,3,1,3,0,0,0,0,0,1,1,0,0,0,3,3.0,-1,.333,.333,
2024-10-28,202410280NYK,CLE,Q1,Georges Niang,https://www.basketball-reference.com/boxscores/202410280NYK.html,4.33,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,-0.8,+2,.000,.000,
2024-10-28,202410280NYK,CLE,Q1,Isaac Okoro,https://www.basketball-reference.com/boxscores/202410280NYK.html,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,
2024-10-28,202410280NYK,CLE,Q2,Evan Mobley,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.77,2,3,1,1,2,2,0,1,1,0,0,0,0,1,7,5.6,-2,.667,1.000,1.000
2024-10-28,202410280NYK,CLE,Q2,Donovan Mitchell,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.9,2,2,0,0,0,0,0,1,1,2,0,0,1,2,4,3.3,-3,1.000,,
2024-10-28,202410280NYK,CLE,Q2,Darius Garland,https://www.basketball-reference.com/boxscores/202410280NYK.html,6.78,2,3,1,1,1,1,1,0,1,0,0,0,1,0,6,4.4,-2,.667,1.000,1.000
2024-10-28,202410280NYK,CLE,Q2,Jarrett Allen,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.72,2,2,0,0,0,0,1,2,3,0,0,0,1,1,4,3.3,-7,1.000,,
2024-10-28,202410280NYK,CLE,Q2,Dean Wade,https://www.basketball-reference.com/boxscores/202410280NYK.html,7.07,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.7,-15,.000,.000,
2024-10-28,202410280NYK,CLE,Q2,Caris LeVert,https://www.basketball-reference.com/boxscores/202410280NYK.html,3.48,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,+2,.000,.000,
2024-10-28,202410280NYK,CLE,Q2,Sam Merrill,https://www.basketball-reference.com/boxscores/202410280NYK.html,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,
2024-10-28,202410280NYK,CLE,Q2,Georges Niang,https://www.basketball-reference.com/boxscores/202410280NYK.html,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,0,.000,,
2024-10-28,202410280NYK,CLE,Q2,Isaac Okoro,https://www.basketball-reference.com/boxscores/202410280NYK.html,8.9,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0.3,-15,.000,.000,
2024-10-28,202410280NYK,CLE,Q2,Ty Jerome,https://www.basketball-reference.com/boxscores/202410280NYK.html,6.68,1,5,0,2,0,0,0,0,0,0,2,0,1,1,2,-0.5,-13,.200,.000,
2024-10-28,202410280NYK,CLE,Q3,Evan Mobley,https://www.basketball-reference.com/boxscores/202410280NYK.html,8.33,3,5,0,0,0,0,0,2,2,0,0,0,0,0,6,4.3,+1,.600,,
