game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score
2023-03-31,202303310PHI,TOR,Fred VanVleet,https://www.basketball-reference.com/boxscores/202303310PHI.html,41.75,5,17,.294,3,10,.300,6,7,.857,0,5,5,6,1,0,6,5,19,7.4
2023-03-31,202303310PHI,TOR,Pascal Siakam,https://www.basketball-reference.com/boxscores/202303310PHI.html,41.62,5,15,.333,1,3,.333,3,4,.750,0,4,4,7,0,0,2,2,14,8.4
2023-03-31,202303310PHI,TOR,OG Anunoby,https://www.basketball-reference.com/boxscores/202303310PHI.html,41.43,6,12,.500,3,8,.375,2,2,1.000,1,2,3,3,1,1,1,5,17,13.1
2023-03-31,202303310PHI,TOR,Scottie Barnes,https://www.basketball-reference.com/boxscores/202303310PHI.html,39.85,13,19,.684,0,1,.000,3,4,.750,7,2,9,8,4,1,2,3,29,33.1
2023-03-31,202303310PHI,TOR,Jakob Poeltl,https://www.basketball-reference.com/boxscores/202303310PHI.html,33.42,6,8,.750,0,0,,2,4,.500,4,6,10,2,0,0,2,2,14,13.2
2023-03-31,202303310PHI,TOR,Chris Boucher,https://www.basketball-reference.com/boxscores/202303310PHI.html,18.45,3,5,.600,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,1,9,6.6
2023-03-31,202303310PHI,TOR,Jeff Dowtin Jr.,https://www.basketball-reference.com/boxscores/202303310PHI.html,8.9,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
2023-03-31,202303310PHI,TOR,Christian Koloko,https://www.basketball-reference.com/boxscores/202303310PHI.html,7.45,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,0,1,4,3.0
2023-03-31,202303310PHI,TOR,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202303310PHI.html,7.13,2,5,.400,0,2,.000,0,0,,1,0,1,0,0,1,0,0,4,2.7
2023-03-31,202303310PHI,PHI,James Harden,https://www.basketball-reference.com/boxscores/202303310PHI.html,37.1,9,14,.643,3,6,.500,2,2,1.000,1,2,3,11,2,1,6,2,23,21.7
2023-03-31,202303310PHI,PHI,Tyrese Maxey,https://www.basketball-reference.com/boxscores/202303310PHI.html,36.52,5,8,.625,2,4,.500,1,1,1.000,0,0,0,6,0,0,0,2,13,12.8
2023-03-31,202303310PHI,PHI,Joel Embiid,https://www.basketball-reference.com/boxscores/202303310PHI.html,33.57,7,13,.538,0,2,.000,11,12,.917,1,11,12,1,0,1,5,3,25,17.5
2023-03-31,202303310PHI,PHI,De'Anthony Melton,https://www.basketball-reference.com/boxscores/202303310PHI.html,32.6,5,9,.556,0,3,.000,3,4,.750,1,3,4,3,3,1,1,2,13,13.9
2023-03-31,202303310PHI,PHI,P.J. Tucker,https://www.basketball-reference.com/boxscores/202303310PHI.html,25.72,3,7,.429,3,6,.500,0,0,,2,4,6,1,0,0,1,2,9,6.8
2023-03-31,202303310PHI,PHI,Jalen McDaniels,https://www.basketball-reference.com/boxscores/202303310PHI.html,20.95,3,4,.750,1,1,1.000,0,0,,0,3,3,1,1,2,1,1,7,8.0
2023-03-31,202303310PHI,PHI,Shake Milton,https://www.basketball-reference.com/boxscores/202303310PHI.html,15.02,1,2,.500,1,1,1.000,0,0,,0,1,1,2,0,0,0,2,3,2.9
2023-03-31,202303310PHI,PHI,Paul Reed,https://www.basketball-reference.com/boxscores/202303310PHI.html,14.43,3,5,.600,0,0,,5,5,1.000,4,2,6,2,0,1,1,0,11,13.2
2023-03-31,202303310PHI,PHI,Danuel House Jr.,https://www.basketball-reference.com/boxscores/202303310PHI.html,12.2,3,5,.600,1,3,.333,1,1,1.000,0,1,1,1,0,0,0,2,8,5.9
2023-03-31,202303310PHI,PHI,Georges Niang,https://www.basketball-reference.com/boxscores/202303310PHI.html,11.9,2,6,.333,1,5,.200,0,0,,0,1,1,0,1,0,1,4,5,0.3
