game_date,game_id,team,url,Q1,Q2,Q3,Q4,TOTAL
2025-01-08,202501080MIL,SAS,https://www.basketball-reference.com/boxscores/202501080MIL.html,27,19,32,27,105
2025-01-08,202501080MIL,MIL,https://www.basketball-reference.com/boxscores/202501080MIL.html,31,34,26,30,121
