game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,fg3_pct
2023-11-26,202311260MEM,MIN,Q1,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.18,0,0,0,0,1,3,.333,0,0,0,0,0,0,0,0,1,0.2,+2,,
2023-11-26,202311260MEM,MIN,Q1,Anthony Edwards,https://www.basketball-reference.com/boxscores/202311260MEM.html,12.0,4,6,0,1,0,0,,0,0,0,4,0,0,0,0,8,8.2,+5,.667,.000
2023-11-26,202311260MEM,MIN,Q1,Mike Conley,https://www.basketball-reference.com/boxscores/202311260MEM.html,7.22,2,4,2,4,0,0,,0,1,1,2,0,0,0,1,6,5.3,+4,.500,.500
2023-11-26,202311260MEM,MIN,Q1,Karl-Anthony Towns,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.53,3,4,1,1,0,0,,0,3,3,0,0,0,1,2,7,4.5,+5,.750,1.000
2023-11-26,202311260MEM,MIN,Q1,Rudy Gobert,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.18,2,2,0,0,0,0,,1,1,2,0,0,1,0,0,4,5.1,+2,1.000,
2023-11-26,202311260MEM,MIN,Q1,Kyle Anderson,https://www.basketball-reference.com/boxscores/202311260MEM.html,4.78,0,2,0,0,0,0,,0,0,0,0,0,1,0,0,0,-0.7,+1,.000,
2023-11-26,202311260MEM,MIN,Q1,Naz Reid,https://www.basketball-reference.com/boxscores/202311260MEM.html,5.28,1,2,0,0,0,0,,0,2,2,0,0,0,0,1,2,1.2,+3,.500,
2023-11-26,202311260MEM,MIN,Q1,Shake Milton,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.82,1,1,1,1,0,0,,0,1,1,0,0,0,0,1,3,2.6,+3,1.000,1.000
2023-11-26,202311260MEM,MIN,Q2,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202311260MEM.html,7.28,0,2,0,2,0,0,,0,0,0,0,0,0,0,2,0,-2.2,+7,.000,.000
2023-11-26,202311260MEM,MIN,Q2,Anthony Edwards,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.48,0,1,0,0,4,4,1.000,0,0,0,0,0,0,0,2,4,2.5,+4,.000,
2023-11-26,202311260MEM,MIN,Q2,Mike Conley,https://www.basketball-reference.com/boxscores/202311260MEM.html,8.57,2,3,2,3,0,0,,0,2,2,2,0,0,2,0,6,4.7,+5,.667,.667
2023-11-26,202311260MEM,MIN,Q2,Karl-Anthony Towns,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.37,1,2,0,0,3,3,1.000,0,3,3,1,1,0,1,1,5,5.2,+7,.500,
2023-11-26,202311260MEM,MIN,Q2,Rudy Gobert,https://www.basketball-reference.com/boxscores/202311260MEM.html,7.72,2,3,0,0,1,2,.500,0,1,1,0,0,1,1,3,5,2.1,+6,.667,
2023-11-26,202311260MEM,MIN,Q2,Kyle Anderson,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.32,1,1,0,0,0,0,,0,2,2,1,0,0,0,0,2,3.0,+5,1.000,
2023-11-26,202311260MEM,MIN,Q2,Naz Reid,https://www.basketball-reference.com/boxscores/202311260MEM.html,3.43,0,1,0,1,1,2,.500,0,1,1,0,0,0,1,2,1,-1.6,+7,.000,.000
2023-11-26,202311260MEM,MIN,Q2,Shake Milton,https://www.basketball-reference.com/boxscores/202311260MEM.html,4.72,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0.0,+5,.000,
2023-11-26,202311260MEM,MIN,Q2,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.12,2,3,2,3,0,0,,1,2,3,1,0,0,0,1,6,6.3,+14,.667,.667
2023-11-26,202311260MEM,MIN,Q3,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202311260MEM.html,12.0,2,3,1,2,0,0,,0,1,1,1,0,0,1,0,5,3.7,+7,.667,.500
2023-11-26,202311260MEM,MIN,Q3,Anthony Edwards,https://www.basketball-reference.com/boxscores/202311260MEM.html,12.0,3,6,1,3,1,1,1.000,0,2,2,3,0,1,2,1,8,6.0,+7,.500,.333
2023-11-26,202311260MEM,MIN,Q3,Mike Conley,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.85,1,3,1,1,0,0,,0,1,1,3,1,0,0,0,3,4.7,+4,.333,1.000
2023-11-26,202311260MEM,MIN,Q3,Karl-Anthony Towns,https://www.basketball-reference.com/boxscores/202311260MEM.html,0.53,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,-1.4,0,,
2023-11-26,202311260MEM,MIN,Q3,Rudy Gobert,https://www.basketball-reference.com/boxscores/202311260MEM.html,3.43,1,2,0,0,2,2,1.000,0,1,1,0,0,0,1,1,4,1.9,+5,.500,
2023-11-26,202311260MEM,MIN,Q3,Kyle Anderson,https://www.basketball-reference.com/boxscores/202311260MEM.html,11.47,2,4,0,1,0,0,,1,3,4,2,0,0,0,3,4,3.8,+7,.500,.000
2023-11-26,202311260MEM,MIN,Q3,Naz Reid,https://www.basketball-reference.com/boxscores/202311260MEM.html,8.57,1,2,0,0,2,2,1.000,2,1,3,0,1,0,0,1,4,5.3,+2,.500,
2023-11-26,202311260MEM,MIN,Q3,Shake Milton,https://www.basketball-reference.com/boxscores/202311260MEM.html,5.15,1,3,0,1,0,0,,0,0,0,0,1,0,0,0,2,1.3,+3,.333,.000
2023-11-26,202311260MEM,MIN,Q4,Nickeil Alexander-Walker,https://www.basketball-reference.com/boxscores/202311260MEM.html,5.78,1,2,1,2,0,0,,0,0,0,2,1,0,0,0,3,4.4,+1,.500,.500
2023-11-26,202311260MEM,MIN,Q4,Anthony Edwards,https://www.basketball-reference.com/boxscores/202311260MEM.html,3.5,1,1,0,0,2,2,1.000,0,3,3,0,0,0,0,0,4,4.6,+7,1.000,
2023-11-26,202311260MEM,MIN,Q4,Mike Conley,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.5,1,1,1,1,0,0,,0,0,0,3,0,0,0,0,3,4.8,-5,1.000,1.000
2023-11-26,202311260MEM,MIN,Q4,Karl-Anthony Towns,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.5,3,5,0,2,0,0,,0,2,2,1,0,1,1,1,6,4.3,-5,.600,.000
2023-11-26,202311260MEM,MIN,Q4,Rudy Gobert,https://www.basketball-reference.com/boxscores/202311260MEM.html,5.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+3,,
2023-11-26,202311260MEM,MIN,Q4,Kyle Anderson,https://www.basketball-reference.com/boxscores/202311260MEM.html,0.18,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,,
2023-11-26,202311260MEM,MIN,Q4,Naz Reid,https://www.basketball-reference.com/boxscores/202311260MEM.html,4.58,2,4,1,1,0,0,,0,0,0,0,0,0,0,0,5,3.0,-8,.500,1.000
2023-11-26,202311260MEM,MIN,Q4,Shake Milton,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.22,0,1,0,1,1,2,.500,0,1,1,2,0,0,1,1,1,0.2,-3,.000,.000
2023-11-26,202311260MEM,MIN,Q4,Troy Brown Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,8.68,0,1,0,1,0,0,,1,0,1,0,0,0,1,0,0,-1.0,-9,.000,.000
2023-11-26,202311260MEM,MIN,Q4,Daishen Nix,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.32,1,2,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.0,+3,.500,1.000
2023-11-26,202311260MEM,MIN,Q4,Leonard Miller,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.32,1,1,0,0,0,0,,0,2,2,1,0,0,0,0,2,3.0,+3,1.000,
2023-11-26,202311260MEM,MIN,Q4,Josh Minott,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.32,1,2,0,1,0,0,,0,0,0,0,0,0,0,0,2,1.0,+3,.500,.000
2023-11-26,202311260MEM,MEM,Q1,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,8.9,0,1,0,1,2,2,1.000,0,0,0,1,0,1,1,1,2,1.3,-7,.000,.000
2023-11-26,202311260MEM,MEM,Q1,Desmond Bane,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.18,2,5,1,4,0,0,,0,0,0,0,0,0,0,0,5,2.3,-2,.400,.250
2023-11-26,202311260MEM,MEM,Q1,Bismack Biyombo,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.18,1,1,0,0,0,0,,0,1,1,2,0,0,0,0,2,3.4,-2,1.000,
2023-11-26,202311260MEM,MEM,Q1,Santi Aldama,https://www.basketball-reference.com/boxscores/202311260MEM.html,8.9,2,3,0,1,1,2,.500,0,2,2,1,0,0,0,0,5,4.6,-13,.667,.000
2023-11-26,202311260MEM,MEM,Q1,Jacob Gilyard,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.08,0,1,0,1,0,0,,0,0,0,1,0,0,0,0,0,0.0,-4,.000,.000
2023-11-26,202311260MEM,MEM,Q1,David Roddy,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.02,2,5,1,3,1,1,1.000,1,1,2,1,0,0,0,0,6,5.0,+7,.400,.333
2023-11-26,202311260MEM,MEM,Q1,Derrick Rose,https://www.basketball-reference.com/boxscores/202311260MEM.html,5.92,2,2,0,0,2,2,1.000,0,0,0,0,0,0,1,1,6,4.0,-1,1.000,
2023-11-26,202311260MEM,MEM,Q1,Vince Williams Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.82,0,1,0,1,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-3,.000,.000
2023-11-26,202311260MEM,MEM,Q2,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,8.4,1,6,0,2,1,2,.500,0,0,0,1,0,1,1,0,3,-0.8,-6,.167,.000
2023-11-26,202311260MEM,MEM,Q2,Desmond Bane,https://www.basketball-reference.com/boxscores/202311260MEM.html,7.28,1,4,0,0,0,0,,0,0,0,1,0,0,1,0,2,-0.7,-7,.250,
2023-11-26,202311260MEM,MEM,Q2,Bismack Biyombo,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.48,1,1,0,0,4,8,.500,1,1,2,0,1,0,0,0,6,6.1,-4,1.000,
2023-11-26,202311260MEM,MEM,Q2,Santi Aldama,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.07,3,6,0,3,0,0,,1,0,1,0,0,0,1,0,6,2.7,-6,.500,.000
2023-11-26,202311260MEM,MEM,Q2,Jacob Gilyard,https://www.basketball-reference.com/boxscores/202311260MEM.html,5.52,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-8,,
2023-11-26,202311260MEM,MEM,Q2,David Roddy,https://www.basketball-reference.com/boxscores/202311260MEM.html,3.6,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-6,,
2023-11-26,202311260MEM,MEM,Q2,Derrick Rose,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.48,0,5,0,1,0,0,,1,0,1,3,1,0,0,1,0,-0.1,-4,.000,.000
2023-11-26,202311260MEM,MEM,Q2,Ziaire Williams,https://www.basketball-reference.com/boxscores/202311260MEM.html,8.45,0,2,0,1,0,0,,0,1,1,0,0,0,0,3,0,-2.3,-14,.000,.000
2023-11-26,202311260MEM,MEM,Q2,Vince Williams Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,4.72,0,1,0,1,0,0,,1,1,2,0,1,0,0,1,0,0.9,-5,.000,.000
2023-11-26,202311260MEM,MEM,Q3,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.62,1,3,0,0,5,6,.833,0,1,1,0,1,0,0,0,7,6.2,-1,.333,
2023-11-26,202311260MEM,MEM,Q3,Desmond Bane,https://www.basketball-reference.com/boxscores/202311260MEM.html,12.0,1,4,1,4,0,0,,1,1,2,0,0,0,4,3,3,-3.6,-7,.250,.250
2023-11-26,202311260MEM,MEM,Q3,Bismack Biyombo,https://www.basketball-reference.com/boxscores/202311260MEM.html,4.83,0,0,0,0,2,2,1.000,0,0,0,0,0,0,1,0,2,1.0,-15,,
2023-11-26,202311260MEM,MEM,Q3,Santi Aldama,https://www.basketball-reference.com/boxscores/202311260MEM.html,8.7,1,6,1,3,0,0,,1,3,4,1,0,0,0,0,3,1.5,+4,.167,.333
2023-11-26,202311260MEM,MEM,Q3,Jacob Gilyard,https://www.basketball-reference.com/boxscores/202311260MEM.html,4.73,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9,.000,.000
2023-11-26,202311260MEM,MEM,Q3,David Roddy,https://www.basketball-reference.com/boxscores/202311260MEM.html,5.58,0,1,0,1,0,0,,0,1,1,0,0,0,1,0,0,-1.4,-11,.000,.000
2023-11-26,202311260MEM,MEM,Q3,Derrick Rose,https://www.basketball-reference.com/boxscores/202311260MEM.html,7.27,3,5,0,1,0,0,,1,0,1,1,0,0,0,0,6,5.1,+2,.600,.000
2023-11-26,202311260MEM,MEM,Q3,Jaylen Nowell,https://www.basketball-reference.com/boxscores/202311260MEM.html,7.27,1,2,0,1,0,0,,1,3,4,2,0,0,0,1,2,3.6,+2,.500,.000
2023-11-26,202311260MEM,MEM,Q4,Jaren Jackson Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.68,2,4,2,3,0,0,,0,3,3,1,0,1,0,2,6,5.5,+5,.500,.667
2023-11-26,202311260MEM,MEM,Q4,Desmond Bane,https://www.basketball-reference.com/boxscores/202311260MEM.html,5.78,1,3,1,1,0,0,,0,0,0,3,0,0,0,0,3,3.4,-1,.333,1.000
2023-11-26,202311260MEM,MEM,Q4,Bismack Biyombo,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.68,0,1,0,0,0,0,,1,1,2,1,0,0,0,1,0,0.6,+5,.000,
2023-11-26,202311260MEM,MEM,Q4,David Roddy,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.68,2,3,1,1,0,0,,1,0,1,1,0,0,0,0,5,5.1,+5,.667,1.000
2023-11-26,202311260MEM,MEM,Q4,Ziaire Williams,https://www.basketball-reference.com/boxscores/202311260MEM.html,9.68,4,6,2,2,1,2,.500,0,1,1,1,0,0,2,2,11,6.2,+5,.667,1.000
2023-11-26,202311260MEM,MEM,Q4,Jaylen Nowell,https://www.basketball-reference.com/boxscores/202311260MEM.html,6.22,1,2,0,0,0,0,,0,1,1,1,0,0,0,0,2,2.0,+3,.500,
2023-11-26,202311260MEM,MEM,Q4,Vince Williams Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.32,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0.7,-3,,
2023-11-26,202311260MEM,MEM,Q4,Shaquille Harrison,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.32,1,2,0,0,0,0,,0,1,1,0,0,1,0,0,2,2.0,-3,.500,
2023-11-26,202311260MEM,MEM,Q4,Kenneth Lofton Jr.,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.32,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,2,1.7,-3,1.000,
2023-11-26,202311260MEM,MEM,Q4,John Konchar,https://www.basketball-reference.com/boxscores/202311260MEM.html,2.32,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,,
