game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,TOTAL
2024-10-29,202410290BRK,DEN,https://www.basketball-reference.com/boxscores/202410290BRK.html,27,36,33,29,19,144
2024-10-29,202410290BRK,BRK,https://www.basketball-reference.com/boxscores/202410290BRK.html,40,32,27,26,14,139
