game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,ft_pct,fg3_pct
2024-10-25,202410250HOU,MEM,Q2,Zach Edey,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.78,1,2,0,0,0,0,3,1,4,0,0,1,0,0,2,4.1,-3,.500,,
2024-10-25,202410250HOU,MEM,Q2,Santi Aldama,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.35,0,2,0,1,0,0,0,2,2,0,0,0,1,1,0,-2.2,-5,.000,,.000
2024-10-25,202410250HOU,MEM,Q2,Marcus Smart,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.62,1,2,1,1,0,0,0,0,0,0,1,0,0,0,3,3.0,+8,.500,,1.000
2024-10-25,202410250HOU,MEM,Q2,Scotty Pippen Jr.,https://www.basketball-reference.com/boxscores/202410250HOU.html,7.22,1,3,0,0,0,0,0,1,1,1,0,0,0,1,2,0.9,0,.333,,
2024-10-25,202410250HOU,MEM,Q2,Jake LaRavia,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.65,0,0,0,0,0,0,0,2,2,2,0,0,0,1,0,1.6,+11,,,
2024-10-25,202410250HOU,MEM,Q2,John Konchar,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.05,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,1.3,-2,,,
2024-10-25,202410250HOU,MEM,Q2,Jaylen Wells,https://www.basketball-reference.com/boxscores/202410250HOU.html,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,
2024-10-25,202410250HOU,MEM,Q2,Jay Huff,https://www.basketball-reference.com/boxscores/202410250HOU.html,2.07,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2.0,0,1.000,,
2024-10-25,202410250HOU,MEM,Q2,Brandon Clarke,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.15,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0,-1.5,+9,.000,,.000
2024-10-25,202410250HOU,MEM,Q3,Desmond Bane,https://www.basketball-reference.com/boxscores/202410250HOU.html,10.98,2,7,0,3,1,2,0,0,0,1,0,0,1,0,5,0.2,-19,.286,.500,.000
2024-10-25,202410250HOU,MEM,Q3,Ja Morant,https://www.basketball-reference.com/boxscores/202410250HOU.html,7.43,2,5,0,1,2,2,0,0,0,1,0,0,2,0,6,2.0,-7,.400,1.000,.000
2024-10-25,202410250HOU,MEM,Q3,Zach Edey,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.43,0,2,0,0,0,0,0,1,1,0,1,0,0,4,0,-1.7,-3,.000,,
2024-10-25,202410250HOU,MEM,Q3,Santi Aldama,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.17,0,0,0,0,2,2,0,1,1,1,0,2,0,0,2,4.4,-5,,1.000,
2024-10-25,202410250HOU,MEM,Q3,Marcus Smart,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.37,0,2,0,0,2,2,0,0,0,0,0,0,0,2,2,-0.2,-14,.000,1.000,
2024-10-25,202410250HOU,MEM,Q3,Scotty Pippen Jr.,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.57,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,-2.8,-14,.000,,.000
2024-10-25,202410250HOU,MEM,Q3,Jake LaRavia,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.83,0,0,0,0,1,2,3,0,3,0,0,0,2,1,1,0.3,-16,,.500,
2024-10-25,202410250HOU,MEM,Q3,John Konchar,https://www.basketball-reference.com/boxscores/202410250HOU.html,1.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7,-4,,,
2024-10-25,202410250HOU,MEM,Q3,Jaylen Wells,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.63,1,3,0,1,0,0,0,2,2,0,0,0,0,0,2,0.9,-7,.333,,.000
2024-10-25,202410250HOU,MEM,Q3,Jay Huff,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.37,0,3,0,1,0,0,1,1,2,0,2,1,0,0,0,1.6,-14,.000,,.000
2024-10-25,202410250HOU,MEM,Q3,Brandon Clarke,https://www.basketball-reference.com/boxscores/202410250HOU.html,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2,,,
2024-10-25,202410250HOU,MEM,Q4,Desmond Bane,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.93,0,2,0,1,0,0,1,1,2,1,0,1,0,1,0,0.6,+3,.000,,.000
2024-10-25,202410250HOU,MEM,Q4,Ja Morant,https://www.basketball-reference.com/boxscores/202410250HOU.html,4.88,1,2,1,1,0,0,0,0,0,0,0,0,1,0,3,1.0,-3,.500,,1.000
2024-10-25,202410250HOU,MEM,Q4,Zach Edey,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.8,3,3,0,0,1,3,1,1,2,1,0,0,0,0,7,7.0,0,1.000,.333,
2024-10-25,202410250HOU,MEM,Q4,Santi Aldama,https://www.basketball-reference.com/boxscores/202410250HOU.html,2.73,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-0.7,-1,,,
2024-10-25,202410250HOU,MEM,Q4,Marcus Smart,https://www.basketball-reference.com/boxscores/202410250HOU.html,1.63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1.4,-4,,,
