game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,TOTAL
2022-10-28,202210280BOS,CLE,https://www.basketball-reference.com/boxscores/202210280BOS.html,33,29,33,19,18,132
2022-10-28,202210280BOS,BOS,https://www.basketball-reference.com/boxscores/202210280BOS.html,34,41,24,15,9,123
