game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,OT2,TOTAL
2021-10-20,202110200NYK,BOS,https://www.basketball-reference.com/boxscores/202110200NYK.html,35,23,24,34,12,6,134
2021-10-20,202110200NYK,NYK,https://www.basketball-reference.com/boxscores/202110200NYK.html,29,25,32,30,12,10,138
