game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,ft_pct,plus_minus
2023-03-31,202303310HOU,DET,Jaden Ivey,https://www.basketball-reference.com/boxscores/202303310HOU.html,34.97,8,20,.400,2,9,.222,0,0,1,2,3,9,2,0,4,5,18,10.8,,
2023-03-31,202303310HOU,DET,Marvin Bagley III,https://www.basketball-reference.com/boxscores/202303310HOU.html,34.45,8,13,.615,0,2,.000,5,6,1,2,3,1,0,0,2,2,21,13.9,.833,
2023-03-31,202303310HOU,DET,Isaiah Livers,https://www.basketball-reference.com/boxscores/202303310HOU.html,28.73,4,8,.500,3,6,.500,1,1,1,3,4,0,0,1,0,4,12,8.7,1.000,
2023-03-31,202303310HOU,DET,Killian Hayes,https://www.basketball-reference.com/boxscores/202303310HOU.html,28.17,3,8,.375,1,3,.333,3,4,2,3,5,6,0,1,2,3,10,9.2,.750,
2023-03-31,202303310HOU,DET,James Wiseman,https://www.basketball-reference.com/boxscores/202303310HOU.html,23.5,4,10,.400,0,2,.000,0,0,1,3,4,1,0,3,0,6,8,4.6,,
2023-03-31,202303310HOU,DET,Cory Joseph,https://www.basketball-reference.com/boxscores/202303310HOU.html,25.03,7,11,.636,3,6,.500,0,0,1,3,4,5,1,1,2,1,17,16.5,,
2023-03-31,202303310HOU,DET,Jalen Duren,https://www.basketball-reference.com/boxscores/202303310HOU.html,24.5,4,7,.571,0,0,,3,8,5,5,10,0,2,1,1,4,11,10.8,.375,
2023-03-31,202303310HOU,DET,Eugene Omoruyi,https://www.basketball-reference.com/boxscores/202303310HOU.html,17.18,3,7,.429,1,4,.250,4,6,1,2,3,0,0,0,1,1,11,6.4,.667,
2023-03-31,202303310HOU,DET,Jared Rhoden,https://www.basketball-reference.com/boxscores/202303310HOU.html,15.73,2,3,.667,1,2,.500,2,2,0,3,3,1,0,0,0,2,7,6.5,1.000,
2023-03-31,202303310HOU,DET,R.J. Hampton,https://www.basketball-reference.com/boxscores/202303310HOU.html,7.72,0,2,.000,0,1,.000,0,0,0,1,1,1,2,0,0,0,0,1.6,,
2023-03-31,202303310HOU,HOU,Kevin Porter Jr.,https://www.basketball-reference.com/boxscores/202303310HOU.html,37.85,12,20,.600,7,13,.538,2,3,2,1,3,1,4,0,3,5,33,24.8,.667,+3
2023-03-31,202303310HOU,HOU,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202303310HOU.html,36.78,4,14,.286,1,6,.167,4,4,2,9,11,1,0,2,0,4,13,9.4,1.000,-5
2023-03-31,202303310HOU,HOU,Jalen Green,https://www.basketball-reference.com/boxscores/202303310HOU.html,36.62,10,18,.556,2,5,.400,10,16,0,1,1,5,0,0,3,4,32,20.2,.625,+12
2023-03-31,202303310HOU,HOU,KJ Martin,https://www.basketball-reference.com/boxscores/202303310HOU.html,35.37,3,6,.500,0,2,.000,9,12,1,5,6,1,0,2,0,3,15,13.9,.750,+20
2023-03-31,202303310HOU,HOU,Alperen Şengün,https://www.basketball-reference.com/boxscores/202303310HOU.html,34.9,5,7,.714,0,0,,5,6,3,10,13,7,0,0,4,5,15,15.7,.833,+13
2023-03-31,202303310HOU,HOU,Tari Eason,https://www.basketball-reference.com/boxscores/202303310HOU.html,24.02,1,11,.091,1,2,.500,2,2,6,4,10,1,2,1,0,1,5,6.1,1.000,-6
2023-03-31,202303310HOU,HOU,Josh Christopher,https://www.basketball-reference.com/boxscores/202303310HOU.html,15.38,2,5,.400,0,2,.000,0,0,0,1,1,1,3,0,0,0,4,5.3,,-1
2023-03-31,202303310HOU,HOU,Boban Marjanović,https://www.basketball-reference.com/boxscores/202303310HOU.html,7.92,0,0,,0,0,,2,2,0,1,1,0,0,0,0,0,2,2.3,1.000,+6
2023-03-31,202303310HOU,HOU,Daishen Nix,https://www.basketball-reference.com/boxscores/202303310HOU.html,6.15,1,2,.500,0,1,.000,0,0,0,0,0,1,0,0,2,0,2,-0.3,,-2
2023-03-31,202303310HOU,HOU,Usman Garuba,https://www.basketball-reference.com/boxscores/202303310HOU.html,5.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2,0,-0.8,,-10
