game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg3_pct
2022-04-03,202204030TOR,MIA,Bam Adebayo,https://www.basketball-reference.com/boxscores/202204030TOR.html,36.18,6,12,.500,0,0,4,9,.444,2,7,9,1,0,0,2,3,16,9.0,+10,
2022-04-03,202204030TOR,MIA,Kyle Lowry,https://www.basketball-reference.com/boxscores/202204030TOR.html,34.55,4,8,.500,2,4,6,7,.857,1,5,6,10,1,0,2,5,16,17.8,+8,.500
2022-04-03,202204030TOR,MIA,Max Strus,https://www.basketball-reference.com/boxscores/202204030TOR.html,29.15,7,10,.700,7,9,2,2,1.000,0,3,3,1,1,0,0,2,23,20.6,+10,.778
2022-04-03,202204030TOR,MIA,Caleb Martin,https://www.basketball-reference.com/boxscores/202204030TOR.html,26.1,2,6,.333,0,3,0,0,,1,2,3,0,1,4,0,2,4,4.9,-11,.000
2022-04-03,202204030TOR,MIA,Markieff Morris,https://www.basketball-reference.com/boxscores/202204030TOR.html,25.55,4,10,.400,2,6,0,0,,1,2,3,4,3,0,0,1,10,11.3,+5,.333
2022-04-03,202204030TOR,MIA,Tyler Herro,https://www.basketball-reference.com/boxscores/202204030TOR.html,36.4,8,16,.500,1,5,1,2,.500,1,8,9,8,0,0,8,3,18,9.1,+7,.200
2022-04-03,202204030TOR,MIA,Victor Oladipo,https://www.basketball-reference.com/boxscores/202204030TOR.html,27.45,7,11,.636,6,9,1,2,.500,1,2,3,4,2,0,5,2,21,16.0,+5,.667
2022-04-03,202204030TOR,MIA,Duncan Robinson,https://www.basketball-reference.com/boxscores/202204030TOR.html,12.8,0,2,.000,0,2,0,0,,0,0,0,1,1,0,0,1,0,-0.1,-4,.000
2022-04-03,202204030TOR,MIA,Omer Yurtseven,https://www.basketball-reference.com/boxscores/202204030TOR.html,11.82,3,4,.750,0,0,0,0,,1,1,2,1,0,0,0,2,6,5.3,-5,
2022-04-03,202204030TOR,TOR,Pascal Siakam,https://www.basketball-reference.com/boxscores/202204030TOR.html,43.13,11,18,.611,1,3,6,7,.857,0,8,8,5,2,0,4,3,29,23.1,-3,.333
2022-04-03,202204030TOR,TOR,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202204030TOR.html,43.13,6,13,.462,3,8,4,4,1.000,0,2,2,1,3,0,2,2,19,13.8,-3,.375
2022-04-03,202204030TOR,TOR,Fred VanVleet,https://www.basketball-reference.com/boxscores/202204030TOR.html,40.85,7,17,.412,4,11,11,11,1.000,0,2,2,7,3,0,5,2,29,22.6,-10,.364
2022-04-03,202204030TOR,TOR,Scottie Barnes,https://www.basketball-reference.com/boxscores/202204030TOR.html,34.9,7,16,.438,3,9,2,2,1.000,2,5,7,2,2,0,0,5,19,14.9,-3,.333
2022-04-03,202204030TOR,TOR,Khem Birch,https://www.basketball-reference.com/boxscores/202204030TOR.html,13.18,0,2,.000,0,1,0,0,,2,0,2,0,0,0,0,3,0,-1.2,+3,.000
2022-04-03,202204030TOR,TOR,Chris Boucher,https://www.basketball-reference.com/boxscores/202204030TOR.html,21.63,3,10,.300,1,4,1,2,.500,3,5,8,1,0,1,1,3,8,4.6,+1,.250
2022-04-03,202204030TOR,TOR,Precious Achiuwa,https://www.basketball-reference.com/boxscores/202204030TOR.html,20.5,1,4,.250,0,1,1,4,.250,0,2,2,1,0,0,1,2,3,-1.1,-2,.000
2022-04-03,202204030TOR,TOR,Thaddeus Young,https://www.basketball-reference.com/boxscores/202204030TOR.html,17.8,0,2,.000,0,1,2,4,.500,3,4,7,2,1,0,1,0,2,4.5,-6,.000
2022-04-03,202204030TOR,TOR,Armoni Brooks,https://www.basketball-reference.com/boxscores/202204030TOR.html,4.87,0,1,.000,0,1,0,0,,0,0,0,0,1,0,0,0,0,0.3,-2,.000
