game_id,team,elo
201910220LAC,LAC,1515.2419764865504
201910220LAC,LAL,1484.7580235134496
201910220TOR,TOR,1513.905179301008
201910220TOR,NOP,1486.094820698992
201910230BRK,BRK,1490.1414101092919
201910230BRK,MIN,1509.8585898907081
201910230CHO,CHO,1504.0282514186
201910230CHO,CHI,1495.9717485814
201910230DAL,DAL,1512.612922993707
201910230DAL,WAS,1487.387077006293
201910230IND,IND,1474.357913549842
201910230IND,DET,1525.642086450158
201910230MIA,MIA,1519.4942663027773
201910230MIA,MEM,1480.5057336972227
201910230ORL,ORL,1514.0982201478519
201910230ORL,CLE,1485.9017798521481
201910230PHI,PHI,1517.3444492388867
201910230PHI,BOS,1482.6555507611133
201910230PHO,PHO,1522.181487058342
201910230PHO,SAC,1477.818512941658
201910230POR,POR,1476.364446933004
201910230POR,DEN,1523.635553066996
201910230SAS,SAS,1514.64143230181
201910230SAS,NYK,1485.35856769819
201910230UTA,UTA,1511.8020365286554
201910230UTA,OKC,1488.1979634713446
201910240DET,DET,1491.1132340284748
201910240DET,ATL,1534.5288524216833
201910240GSW,GSW,1468.6976679325828
201910240GSW,LAC,1546.5443085539675
201910240HOU,HOU,1479.4451669088498
201910240HOU,MIL,1520.5548330911502
201910250BOS,BOS,1498.8695041121584
201910250BOS,TOR,1497.691225949963
201910250BRK,BRK,1500.2952154339587
201910250BRK,NYK,1475.2047623735232
201910250CHO,CHO,1468.0006365407396
201910250CHO,MIN,1545.8862047685684
201910250DEN,DEN,1527.0968643606077
201910250DEN,PHO,1518.7201757647304
201910250LAL,LAL,1502.0323064106412
201910250LAL,UTA,1494.5277536314638
201910250MEM,MEM,1458.055568066123
201910250MEM,CHI,1518.4219142124998
201910250NOP,NOP,1464.2132645292438
201910250NOP,DAL,1534.494479163455
201910250OKC,OKC,1458.969527290009
201910250OKC,WAS,1516.6155131876287
201910250SAC,SAC,1452.3987763073465
201910250SAC,POR,1501.7841835673155
201910260ATL,ATL,1541.6900122222771
201910260ATL,ORL,1506.937060347258
201910260CHI,CHI,1480.3477583040187
201910260CHI,TOR,1535.765381858444
201910260CLE,CLE,1501.3275618386763
201910260CLE,IND,1458.9321315633138
201910260DET,DET,1470.3430847540062
201910260DET,PHI,1538.1145985133553
201910260HOU,HOU,1487.097168777263
201910260HOU,NOP,1456.5612626608306
201910260MIL,MIL,1499.9675338158488
201910260MIL,MIA,1540.0815655780787
201910260NYK,NYK,1440.519262702681
201910260NYK,BOS,1533.5550037830005
201910260PHO,PHO,1533.6015909959312
201910260PHO,LAC,1531.6628933227666
201910260SAS,SAS,1524.441657502728
201910260SAS,WAS,1506.8152879867107
201910260UTA,UTA,1513.6903611201838
201910260UTA,SAC,1433.2361688186265
201910270DAL,DAL,1527.174795111017
201910270DAL,POR,1509.1038676197536
201910270LAL,LAL,1518.8429611134923
201910270LAL,CHO,1451.1899818378886
201910270MEM,MEM,1462.1039891821579
201910270MEM,BRK,1496.2467943179238
201910270MIN,MIN,1559.7465891367367
201910270MIN,MIA,1526.2211812099104
201910270OKC,OKC,1481.303006911553
201910270OKC,GSW,1446.3641883110388
201910280ATL,ATL,1528.4910837630994
201910280ATL,PHI,1551.313526972533
201910280DET,DET,1472.7986691236176
201910280DET,IND,1456.4765471937023
201910280HOU,HOU,1494.8247596641595
201910280HOU,OKC,1473.5754160246565
201910280LAC,LAC,1544.5386668522017
201910280LAC,CHO,1438.3142083084535
201910280MIL,MIL,1518.4004780132416
201910280MIL,CLE,1482.8946176412835
201910280NOP,NOP,1426.79009202684
201910280NOP,GSW,1476.1353589450293
201910280NYK,NYK,1456.8646984295697
201910280NYK,CHI,1464.0023225771301
201910280PHO,PHO,1526.246247767726
201910280PHO,UTA,1521.045704348389
201910280SAC,SAC,1414.3843250913112
201910280SAC,DEN,1545.948708087923
201910280SAS,SAS,1530.300496903558
201910280SAS,POR,1503.2450282189236
201910280TOR,TOR,1548.4733953268048
201910280TOR,ORL,1494.2290468788972
201910290DEN,DEN,1532.6040445882377
201910290DEN,DAL,1540.5194586107023
201910290LAL,LAL,1536.55245789774
201910290LAL,MEM,1444.3944923979102
201910290MIA,MIA,1544.2710281805219
201910290MIA,ATL,1510.4412367924879
201910300BOS,BOS,1548.5580538452937
201910300BOS,MIL,1503.3974279509484
201910300BRK,BRK,1467.914370541501
201910300BRK,IND,1484.808970970125
201910300CLE,CLE,1493.7655896475728
201910300CLE,CHI,1453.1313505708408
201910300GSW,GSW,1450.5662935820612
201910300GSW,PHO,1551.815313130694
201910300OKC,OKC,1461.9722707690446
201910300OKC,POR,1514.8481734745355
201910300ORL,ORL,1508.5843638247447
201910300ORL,NYK,1442.509381483722
201910300PHI,PHI,1572.7880189830178
201910300PHI,MIN,1538.272097126252
201910300SAC,SAC,1393.2399319221497
201910300SAC,CHO,1459.458601477615
