game_date,game_id,team,url,Q1,Q2,Q3,Q4,TOTAL
2024-12-27,202412270LAC,GSW,https://www.basketball-reference.com/boxscores/202412270LAC.html,21,22,19,30,92
2024-12-27,202412270LAC,LAC,https://www.basketball-reference.com/boxscores/202412270LAC.html,19,30,32,21,102
