game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,TOTAL
2024-03-27,202403270WAS,BRK,https://www.basketball-reference.com/boxscores/202403270WAS.html,31,30,31,20,10,122
2024-03-27,202403270WAS,WAS,https://www.basketball-reference.com/boxscores/202403270WAS.html,33,21,37,21,7,119
