game_date,game_id,team,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score
2023-03-31,202303310IND,OKC,Shai Gilgeous-Alexander,https://www.basketball-reference.com/boxscores/202303310IND.html,38.23,11,22,.500,0,2,.000,17,17,1.000,0,9,9,4,1,1,3,6,39,29.8
2023-03-31,202303310IND,OKC,Luguentz Dort,https://www.basketball-reference.com/boxscores/202303310IND.html,36.57,4,9,.444,0,2,.000,4,6,.667,3,7,10,1,2,0,1,4,12,10.8
2023-03-31,202303310IND,OKC,Josh Giddey,https://www.basketball-reference.com/boxscores/202303310IND.html,32.93,9,19,.474,1,4,.250,2,4,.500,3,4,7,4,0,0,1,0,21,15.6
2023-03-31,202303310IND,OKC,Jalen Williams,https://www.basketball-reference.com/boxscores/202303310IND.html,29.5,6,10,.600,0,3,.000,2,2,1.000,0,6,6,6,2,0,2,5,14,13.4
2023-03-31,202303310IND,OKC,Jaylin Williams,https://www.basketball-reference.com/boxscores/202303310IND.html,15.45,0,0,,0,0,,0,0,,1,2,3,0,1,0,1,1,0,0.9
2023-03-31,202303310IND,OKC,Aaron Wiggins,https://www.basketball-reference.com/boxscores/202303310IND.html,27.95,5,6,.833,1,2,.500,1,1,1.000,2,1,3,2,1,1,1,3,12,12.4
2023-03-31,202303310IND,OKC,Isaiah Joe,https://www.basketball-reference.com/boxscores/202303310IND.html,24.97,2,10,.200,0,8,.000,3,4,.750,1,1,2,1,3,0,0,2,7,4.3
2023-03-31,202303310IND,OKC,Lindy Waters III,https://www.basketball-reference.com/boxscores/202303310IND.html,17.37,3,7,.429,2,6,.333,0,0,,1,1,2,1,0,1,0,2,8,5.9
2023-03-31,202303310IND,OKC,Aleksej Pokusevski,https://www.basketball-reference.com/boxscores/202303310IND.html,10.25,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,1,0,2,0.3
2023-03-31,202303310IND,OKC,Ousmane Dieng,https://www.basketball-reference.com/boxscores/202303310IND.html,6.72,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,1,2,1.9
2023-03-31,202303310IND,IND,Bennedict Mathurin,https://www.basketball-reference.com/boxscores/202303310IND.html,35.1,5,8,.625,1,3,.333,4,5,.800,2,2,4,0,0,0,1,1,15,11.6
2023-03-31,202303310IND,IND,Andrew Nembhard,https://www.basketball-reference.com/boxscores/202303310IND.html,31.17,7,16,.438,3,7,.429,1,2,.500,2,1,3,6,0,0,4,4,18,9.5
2023-03-31,202303310IND,IND,Jordan Nwora,https://www.basketball-reference.com/boxscores/202303310IND.html,29.65,6,14,.429,1,6,.167,0,0,,1,5,6,6,0,1,0,2,13,11.9
2023-03-31,202303310IND,IND,Jalen Smith,https://www.basketball-reference.com/boxscores/202303310IND.html,29.3,5,10,.500,1,3,.333,1,3,.333,5,10,15,1,0,1,1,3,12,11.9
2023-03-31,202303310IND,IND,Aaron Nesmith,https://www.basketball-reference.com/boxscores/202303310IND.html,24.93,3,11,.273,2,7,.286,1,1,1.000,4,2,6,2,1,0,1,2,9,6.5
2023-03-31,202303310IND,IND,T.J. McConnell,https://www.basketball-reference.com/boxscores/202303310IND.html,29.32,10,15,.667,1,3,.333,0,0,,1,8,9,8,1,0,4,3,21,19.0
2023-03-31,202303310IND,IND,Buddy Hield,https://www.basketball-reference.com/boxscores/202303310IND.html,23.72,5,12,.417,3,8,.375,0,1,.000,0,3,3,5,2,0,2,2,13,9.8
2023-03-31,202303310IND,IND,Isaiah Jackson,https://www.basketball-reference.com/boxscores/202303310IND.html,18.68,4,4,1.000,0,0,,5,8,.625,2,2,4,0,1,2,0,3,13,13.8
2023-03-31,202303310IND,IND,Oshae Brissett,https://www.basketball-reference.com/boxscores/202303310IND.html,18.1,0,8,.000,0,4,.000,7,8,.875,3,3,6,2,0,0,2,1,7,3.0
