game_date,game_id,team,url,Q1,Q2,Q3,Q4,OT1,OT2,OT3,TOTAL
2022-01-29,202201290MIA,TOR,https://www.basketball-reference.com/boxscores/202201290MIA.html,28,31,26,15,5,9,10,124
2022-01-29,202201290MIA,MIA,https://www.basketball-reference.com/boxscores/202201290MIA.html,27,26,22,25,5,9,6,120
